date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,6.0,-0.7,2.6,0.4,23.0,1.4,6.1,,,,93.0,100.0,85.0
2013-01-02,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,9.0,-1.5,3.8,0.0,34.0,1.7,11.4,,,,80.0,100.0,54.0
2013-01-03,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,10.5,-2.9,3.8,0.0,10.0,1.1,7.8,,,,59.0,92.0,30.0
2013-01-04,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,14.0,-2.1,6.0,0.0,12.0,0.3,3.3,,,,69.0,100.0,43.0
2013-01-05,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.5,-3.9,6.3,0.0,26.0,0.3,4.7,,,,62.0,97.0,27.0
2013-01-06,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,15.6,-3.9,5.8,0.0,28.0,0.6,4.2,,,,64.0,99.0,32.0
2013-01-07,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,12.5,-4.4,4.0,0.0,31.0,0.8,4.2,,,,84.0,100.0,54.0
2013-01-08,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,4.6,-3.4,0.6,0.2,24.0,1.1,5.0,,,,99.0,100.0,90.0
2013-01-09,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,7.7,1.1,4.4,0.2,24.0,2.5,7.5,,,,88.0,100.0,70.0
2013-01-10,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.1,5.8,8.4,0.2,27.0,1.9,6.4,,,,90.0,100.0,75.0
2013-01-11,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.3,2.9,7.1,0.0,24.0,1.1,5.8,,,,85.0,100.0,64.0
2013-01-12,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,10.7,1.7,6.2,1.4,26.0,3.1,12.5,,,,89.0,100.0,68.0
2013-01-13,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,7.8,0.6,4.2,2.2,27.0,3.3,13.3,,,,78.0,99.0,58.0
2013-01-14,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.3,-1.7,3.3,1.0,33.0,1.1,7.5,,,,76.0,96.0,56.0
2013-01-15,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,5.2,-1.3,2.0,0.0,22.0,2.5,10.8,,,,91.0,100.0,78.0
2013-01-16,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,6.9,2.4,4.6,14.8,24.0,5.3,12.5,,,,96.0,99.0,89.0
2013-01-17,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,7.3,4.8,6.0,0.0,26.0,3.6,12.8,,,,91.0,100.0,86.0
2013-01-18,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,10.7,7.3,9.0,0.2,24.0,6.4,15.8,,,,93.0,100.0,87.0
2013-01-19,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,9.2,2.3,5.8,25.4,21.0,8.3,18.1,,,,89.0,98.0,78.0
2013-01-20,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,6.2,0.1,3.2,4.0,26.0,4.4,13.9,,,,90.0,99.0,74.0
2013-01-21,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.5,0.2,4.4,0.4,24.0,3.6,12.8,,,,78.0,99.0,56.0
2013-01-22,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,3.7,0.0,1.8,0.2,21.0,5.8,17.2,,,,91.0,100.0,82.0
2013-01-23,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,4.9,-1.2,1.8,4.8,28.0,4.4,14.2,,,,83.0,100.0,64.0
2013-01-24,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.9,2.6,5.8,0.6,28.0,3.6,16.4,,,,85.0,100.0,64.0
2013-01-25,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,7.5,0.2,3.8,0.4,26.0,1.7,7.5,,,,93.0,100.0,79.0
2013-01-26,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,14.0,5.5,9.8,7.4,26.0,2.8,10.0,,,,82.0,100.0,43.0
2013-01-27,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.1,5.5,8.3,0.2,29.0,3.9,15.8,,,,85.0,100.0,72.0
2013-01-28,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.8,-0.7,5.6,0.0,31.0,0.8,10.8,,,,70.0,100.0,44.0
2013-01-29,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.1,-2.7,6.7,0.2,23.0,0.8,4.2,,,,63.0,96.0,22.0
2013-01-30,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.7,-2.1,7.3,0.2,23.0,1.1,6.7,,,,64.0,96.0,42.0
2013-01-31,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,18.1,-0.9,8.6,0.0,30.0,0.3,4.2,,,,71.0,97.0,43.0
2013-02-01,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.7,-1.0,7.8,0.2,22.0,4.2,12.5,,,,64.0,100.0,39.0
2013-02-02,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.1,0.8,4.4,1.0,24.0,3.9,16.7,,,,65.0,93.0,54.0
2013-02-03,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,7.1,-1.5,2.8,0.0,34.0,3.1,13.1,,,,62.0,88.0,40.0
2013-02-04,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,12.1,-2.8,4.6,0.0,1.0,1.1,6.7,,,,69.0,92.0,53.0
2013-02-05,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,15.2,-1.1,7.0,0.0,27.0,1.1,6.4,,,,70.0,97.0,48.0
2013-02-06,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,9.0,0.7,4.8,0.0,32.0,2.5,12.2,,,,60.0,99.0,38.0
2013-02-07,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,7.4,-3.1,2.2,0.0,32.0,2.5,10.8,,,,57.0,84.0,40.0
2013-02-08,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.4,-4.8,1.8,0.0,32.0,2.2,11.4,,,,61.0,89.0,44.0
2013-02-09,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,6.6,-3.8,1.4,0.0,36.0,2.2,10.0,,,,64.0,89.0,48.0
2013-02-10,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.3,-4.5,3.4,6.0,21.0,4.7,17.2,,,,62.0,94.0,37.0
2013-02-11,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,5.7,-0.2,2.8,0.8,27.0,3.6,14.4,,,,68.0,98.0,48.0
2013-02-12,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.3,-2.0,3.2,0.8,31.0,2.5,8.9,,,,66.0,96.0,42.0
2013-02-13,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.3,-2.1,4.6,0.0,32.0,0.8,6.7,,,,74.0,94.0,61.0
2013-02-14,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.0,0.2,8.1,0.0,25.0,0.8,5.3,,,,71.0,100.0,47.0
2013-02-15,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.3,-1.4,7.4,0.0,25.0,1.1,4.7,,,,68.0,97.0,46.0
2013-02-16,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,16.8,-0.4,8.2,0.0,23.0,1.1,5.8,,,,66.0,97.0,39.0
2013-02-17,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,9.7,2.1,5.9,1.0,24.0,1.7,7.8,,,,83.0,99.0,71.0
2013-02-18,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.6,5.5,8.6,0.2,9.0,0.8,5.8,,,,82.0,99.0,68.0
2013-02-19,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.3,6.0,8.6,0.8,14.0,3.1,8.6,,,,80.0,93.0,64.0
2013-02-20,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,10.8,5.9,8.4,0.2,24.0,0.8,7.5,,,,87.0,97.0,72.0
2013-02-21,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,9.6,5.4,7.5,7.6,22.0,3.9,11.9,,,,90.0,98.0,70.0
2013-02-22,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,10.6,3.5,7.0,5.8,27.0,4.7,13.1,,,,86.0,98.0,73.0
2013-02-23,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,4.9,-3.2,0.8,1.6,25.0,3.6,12.5,,,,74.0,98.0,58.0
2013-02-24,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,6.6,-5.3,0.6,0.8,32.0,1.7,8.6,,,,63.0,99.0,44.0
2013-02-25,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,4.8,-9.9,-2.6,3.2,34.0,1.4,8.6,,,,70.0,99.0,48.0
2013-02-26,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,6.4,-5.8,0.3,0.2,35.0,1.1,7.2,,,,66.0,92.0,47.0
2013-02-27,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,5.3,-2.4,1.4,0.0,10.0,3.1,12.8,,,,73.0,89.0,59.0
2013-02-28,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,2.4,-0.8,0.8,1.4,7.0,2.5,12.5,,,,95.0,100.0,87.0
2013-03-01,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,8.7,-1.0,3.8,18.2,35.0,0.6,6.1,,,,83.0,100.0,63.0
2013-03-02,4007Y,OSSA DE MONTIEL,02,ALBACETE,385757N,024442W,905.0,11.4,-5.9,2.8,0.0,10.0,1.4,8.9,,,,75.0,100.0,50.0
