date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,16.5,3.8,10.2,0.0,27.0,1.9,10.8,,,,63.0,92.0,47.0
2013-01-02,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,16.0,5.1,10.6,0.0,23.0,2.5,8.1,,,,56.0,87.0,39.0
2013-01-03,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,14.9,1.4,8.2,0.0,22.0,0.8,5.6,,,,64.0,91.0,43.0
2013-01-04,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,16.0,3.6,9.8,0.0,22.0,0.8,6.7,,,,67.0,87.0,49.0
2013-01-05,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,21.0,5.6,13.3,0.0,23.0,3.1,8.9,,,,45.0,85.0,23.0
2013-01-06,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,20.5,4.9,12.7,0.0,22.0,3.9,10.0,,,,43.0,82.0,31.0
2013-01-07,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,19.5,4.9,12.2,0.0,23.0,3.3,10.3,,,,49.0,82.0,32.0
2013-01-08,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,16.5,5.9,11.2,0.0,24.0,2.2,12.8,,,,56.0,71.0,40.0
2013-01-09,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,16.2,4.5,10.4,0.0,99.0,2.5,11.4,,,,59.0,82.0,43.0
2013-01-10,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,20.2,6.1,13.2,0.0,28.0,2.2,12.2,,,,60.0,85.0,43.0
2013-01-11,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,17.3,6.8,12.0,0.0,22.0,1.9,7.5,,,,63.0,87.0,43.0
2013-01-12,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,17.5,6.7,12.1,0.0,23.0,1.7,6.1,,,,65.0,87.0,44.0
2013-01-13,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,15.3,6.3,10.8,0.0,27.0,4.2,14.2,,,,41.0,87.0,30.0
2013-01-14,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,14.7,8.1,11.4,0.0,30.0,5.8,18.3,,,,43.0,57.0,35.0
2013-01-15,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,15.8,9.0,12.4,0.0,26.0,4.4,13.6,,,,44.0,56.0,34.0
2013-01-16,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,16.8,10.7,13.8,0.0,28.0,2.8,11.9,,,,47.0,55.0,41.0
2013-01-17,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,18.7,12.4,15.6,0.0,24.0,5.3,17.8,,,,48.0,59.0,40.0
2013-01-18,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,22.4,8.8,15.6,0.0,29.0,1.7,9.7,,,,61.0,75.0,44.0
2013-01-19,7244X,ORIHUELA,03,ALICANTE,380404N,005853W,26.0,18.6,11.5,15.0,3.8,29.0,2.5,16.1,,,,65.0,83.0,46.0
