date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,8.2,0.5,4.4,0.2,,,,,,,87.0,100.0,68.0
2013-01-02,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,7.5,-1.3,3.1,0.0,,,,,,,70.0,98.0,58.0
2013-01-03,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,6.6,-2.2,2.2,0.0,,,,,,,68.0,95.0,50.0
2013-01-04,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,12.8,-0.9,6.0,0.0,,,,,,,72.0,99.0,42.0
2013-01-05,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,13.4,-0.5,6.4,0.0,,,,,,,60.0,90.0,35.0
2013-01-06,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,13.3,0.5,6.9,0.0,,,,,,,65.0,91.0,39.0
2013-01-07,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,13.6,-0.9,6.4,0.0,,,,,,,69.0,98.0,35.0
2013-01-08,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,10.3,-2.0,4.2,0.2,,,,,,,82.0,100.0,50.0
2013-01-09,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,7.1,-1.4,2.8,0.0,,,,,,,93.0,100.0,75.0
2013-01-10,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,11.3,2.5,6.9,0.0,,,,,,,83.0,100.0,70.0
2013-01-11,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,9.5,-1.0,4.2,0.4,,,,,,,92.0,100.0,68.0
2013-01-12,5060X,VÉLEZ BLANCO - TOPARES,04,ALMERIA,375139N,021341W,1190.0,9.8,-0.3,4.8,0.4,,,,,,,83.0,100.0,55.0
