date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,9.4,3.1,6.2,0.0,27.0,1.4,4.7,0.3,972.5,967.2,,,
2013-01-02,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,12.6,1.1,6.8,0.0,21.0,0.3,4.7,5.2,976.0,972.0,,,
2013-01-03,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,13.3,1.6,7.4,0.0,10.0,1.9,7.5,8.4,985.3,975.8,57.0,98.0,35.0
2013-01-04,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,13.8,0.2,7.0,0.0,10.0,1.9,4.7,8.5,985.3,982.1,65.0,91.0,40.0
2013-01-05,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,14.4,-1.6,6.4,0.0,25.0,0.6,3.3,7.9,982.7,978.9,81.0,100.0,47.0
2013-01-06,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,11.7,-0.7,5.5,0.0,21.0,0.6,3.3,3.5,979.2,975.6,,,
2013-01-07,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,8.7,1.4,5.0,0.0,27.0,0.3,3.9,0.0,976.9,975.0,,,
2013-01-08,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,7.8,5.3,6.6,0.0,10.0,1.7,5.8,0.0,978.0,975.4,73.0,84.0,62.0
2013-01-09,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,8.5,3.8,6.2,0.8,27.0,0.6,4.4,0.0,976.0,973.9,90.0,99.0,80.0
2013-01-10,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,12.7,7.8,10.2,1.2,22.0,1.9,6.1,0.2,974.3,971.4,,,
2013-01-11,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,10.6,8.4,9.5,1.4,27.0,1.1,4.7,0.1,972.5,970.3,,,
2013-01-12,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,12.9,8.5,10.7,0.0,25.0,4.7,16.1,3.6,970.4,964.4,78.0,98.0,61.0
2013-01-13,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,10.5,3.6,7.0,0.0,25.0,3.3,12.8,6.6,968.4,963.6,70.0,88.0,55.0
2013-01-14,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,10.6,-0.8,4.9,0.0,25.0,2.2,5.3,8.4,972.0,968.4,74.0,94.0,57.0
2013-01-15,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,10.6,0.6,5.6,0.0,27.0,2.8,10.0,7.3,970.0,968.5,75.0,95.0,54.0
2013-01-16,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,10.6,5.7,8.2,5.0,24.0,5.3,15.0,0.0,968.8,962.5,89.0,95.0,75.0
2013-01-17,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,13.2,6.8,10.0,1.4,26.0,3.3,12.2,7.3,966.4,963.1,77.0,96.0,61.0
2013-01-18,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,13.1,11.6,12.4,22.0,25.0,6.9,17.2,0.0,963.8,948.2,88.0,97.0,80.0
2013-01-19,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,13.0,6.5,9.8,6.4,25.0,8.1,24.7,0.0,948.2,929.7,78.0,86.0,60.0
2013-01-20,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,9.6,3.8,6.7,8.0,21.0,5.0,15.6,1.5,956.8,946.5,79.0,92.0,62.0
2013-01-21,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,9.9,4.3,7.1,0.0,28.0,3.9,12.8,6.4,963.2,953.5,69.0,87.0,50.0
2013-01-22,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,7.4,3.2,5.3,9.2,31.0,8.6,24.4,1.5,963.2,956.6,83.0,93.0,65.0
2013-01-23,4244X,HERRERA DEL DUQUE,06,BADAJOZ,391010N,050344W,447.0,9.8,1.8,5.8,3.8,99.0,3.6,16.4,4.5,968.5,958.9,78.0,95.0,63.0
