date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,10.5,1.0,5.8,0.0,29.0,2.2,8.1,,,,79.0,96.0,60.0
2013-01-02,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,12.7,-0.2,6.2,0.0,32.0,2.8,8.6,,,,73.0,94.0,51.0
2013-01-03,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,15.0,-0.6,7.2,0.0,30.0,1.9,5.8,,,,59.0,82.0,34.0
2013-01-04,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,16.0,6.2,11.1,0.0,27.0,3.1,11.9,,,,44.0,63.0,32.0
2013-01-05,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,16.3,7.5,11.9,0.0,32.0,5.6,15.0,,,,43.0,63.0,37.0
2013-01-06,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,19.9,3.3,11.6,0.0,99.0,1.9,10.0,,,,45.0,73.0,29.0
2013-01-07,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,21.8,5.5,13.6,0.0,35.0,1.9,5.0,,,,40.0,53.0,25.0
2013-01-08,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,18.4,5.4,11.9,0.0,30.0,2.2,8.3,,,,41.0,53.0,37.0
2013-01-09,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,14.1,4.3,9.2,0.0,30.0,3.3,18.6,,,,62.0,86.0,44.0
2013-01-10,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,12.2,5.3,8.8,0.0,32.0,7.5,18.9,,,,76.0,90.0,65.0
2013-01-11,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,11.8,1.6,6.7,0.0,33.0,4.4,15.6,,,,60.0,80.0,44.0
2013-01-12,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,11.5,1.3,6.4,1.2,27.0,3.3,11.9,,,,73.0,92.0,58.0
2013-01-13,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,6.6,2.3,4.4,0.0,31.0,7.8,18.6,,,,83.0,93.0,72.0
2013-01-14,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,7.0,0.3,3.6,0.0,29.0,8.1,15.3,,,,73.0,89.0,58.0
2013-01-15,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,6.7,1.2,4.0,0.0,30.0,8.6,25.3,,,,85.0,92.0,76.0
2013-01-16,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,8.7,2.9,5.8,0.0,30.0,13.1,26.1,,,,75.0,88.0,71.0
2013-01-17,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,10.6,3.2,6.9,0.4,30.0,5.0,14.7,,,,55.0,89.0,34.0
2013-01-18,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,11.2,0.6,5.9,1.2,29.0,3.1,12.8,,,,96.0,99.0,46.0
2013-01-19,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,12.1,3.5,7.8,18.4,28.0,3.6,13.9,,,,90.0,99.0,71.0
2013-01-20,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,7.4,2.2,4.8,0.0,31.0,12.5,21.9,,,,78.0,100.0,66.0
2013-01-21,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,8.3,1.4,4.8,0.0,30.0,8.6,20.8,,,,68.0,83.0,54.0
2013-01-22,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,7.0,1.9,4.4,0.0,99.0,3.9,13.6,,,,63.0,86.0,48.0
2013-01-23,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,6.0,0.0,3.0,0.6,30.0,13.1,26.7,,,,73.0,86.0,63.0
2013-01-24,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,8.5,1.8,5.2,0.0,31.0,7.8,17.8,,,,77.0,93.0,44.0
2013-01-25,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,10.9,0.6,5.8,0.6,32.0,5.6,12.8,,,,45.0,62.0,28.0
2013-01-26,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,13.0,3.0,8.0,0.0,32.0,5.0,16.1,,,,82.0,98.0,47.0
2013-01-27,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,12.0,2.3,7.2,0.0,31.0,5.3,14.4,,,,53.0,88.0,40.0
2013-01-28,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,10.9,3.0,7.0,0.0,32.0,6.9,19.4,,,,68.0,93.0,60.0
2013-01-29,0061X,PONTONS,08,BARCELONA,412501N,013109E,632.0,13.5,5.3,9.4,0.0,28.0,4.2,11.4,,,,57.0,74.0,40.0
