date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,6.4,2.0,4.2,0.0,28.0,1.1,4.7,,,,99.0,100.0,94.0
2013-01-02,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,9.8,2.0,5.9,0.0,14.0,2.2,9.4,,,,68.0,94.0,58.0
2013-01-03,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,10.3,3.8,7.0,0.0,11.0,2.5,11.4,,,,55.0,71.0,43.0
2013-01-04,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,10.8,2.4,6.6,0.0,17.0,1.4,10.0,,,,63.0,76.0,44.0
2013-01-05,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,11.1,2.3,6.7,0.0,19.0,1.4,2.8,,,,58.0,74.0,48.0
2013-01-06,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,12.4,1.4,6.9,0.0,30.0,1.4,3.1,,,,64.0,97.0,50.0
2013-01-07,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.2,0.8,4.0,0.0,28.0,1.1,3.9,,,,93.0,100.0,81.0
2013-01-08,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,5.6,2.5,4.0,0.0,31.0,1.1,5.3,,,,83.0,92.0,74.0
2013-01-09,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,8.5,2.1,5.3,1.2,24.0,1.7,8.1,,,,99.0,100.0,90.0
2013-01-10,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,9.8,5.6,7.7,0.0,26.0,1.7,8.9,,,,97.0,100.0,89.0
2013-01-11,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.8,2.0,4.9,2.4,24.0,0.6,7.5,,,,99.0,100.0,95.0
2013-01-12,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.3,4.0,5.6,7.0,28.0,3.1,14.2,,,,91.0,100.0,86.0
2013-01-13,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,5.2,0.7,3.0,0.0,28.0,2.8,10.8,,,,91.0,100.0,71.0
2013-01-14,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.3,-0.6,3.4,0.0,2.0,1.7,5.0,,,,79.0,94.0,64.0
2013-01-15,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.3,-0.5,3.4,0.0,24.0,2.2,7.8,,,,80.0,98.0,70.0
2013-01-16,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.4,3.1,5.2,15.0,20.0,4.2,15.0,,,,98.0,100.0,85.0
2013-01-17,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,10.3,3.7,7.0,1.6,25.0,2.5,9.2,,,,87.0,100.0,70.0
2013-01-18,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,9.5,8.4,9.0,61.0,22.0,5.3,20.6,,,,99.0,100.0,94.0
2013-01-19,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,10.1,2.3,6.2,25.6,99.0,5.8,25.0,,,,97.0,100.0,85.0
2013-01-20,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.3,0.3,3.8,19.6,24.0,3.3,16.7,,,,94.0,100.0,83.0
2013-01-21,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,5.6,1.2,3.4,2.2,32.0,2.2,11.9,,,,87.0,100.0,66.0
2013-01-22,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,3.2,-0.4,1.4,22.0,28.0,4.4,18.1,,,,99.0,100.0,82.0
2013-01-23,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,6.8,-1.9,2.4,5.2,26.0,3.1,14.7,,,,95.0,100.0,86.0
2013-01-24,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,8.5,2.4,5.4,1.4,24.0,3.3,14.4,,,,83.0,100.0,71.0
2013-01-25,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,7.3,2.2,4.8,0.8,2.0,0.8,5.8,,,,99.0,100.0,87.0
2013-01-26,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,13.6,5.3,9.4,0.0,29.0,1.4,9.4,,,,82.0,100.0,62.0
2013-01-27,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,10.5,3.0,6.8,9.8,25.0,3.1,17.5,,,,93.0,100.0,72.0
2013-01-28,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,9.8,0.2,5.0,0.0,99.0,1.4,4.2,,,,74.0,95.0,44.0
2013-01-29,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,12.3,1.6,7.0,0.0,20.0,1.4,3.9,,,,68.0,96.0,51.0
2013-01-30,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,14.6,5.2,9.9,0.0,30.0,1.4,3.9,,,,86.0,100.0,69.0
2013-01-31,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,15.8,5.2,10.5,0.0,24.0,1.4,5.0,,,,78.0,94.0,54.0
2013-02-01,3386A,NAVALVILLAR DE IBOR,10,CACERES,393530N,052330W,923.0,13.0,6.2,9.6,5.4,28.0,3.1,17.2,,,,73.0,100.0,45.0
