date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,14.1,2.7,8.4,0.0,35.0,2.2,11.7,,,,67.0,94.0,51.0
2013-01-02,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,14.0,5.0,9.5,0.0,33.0,3.3,11.4,,,,53.0,66.0,43.0
2013-01-03,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,13.4,1.0,7.2,0.0,13.0,1.7,6.1,,,,56.0,77.0,29.0
2013-01-04,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,18.8,0.0,9.4,0.0,23.0,0.6,4.2,,,,62.0,96.0,28.0
2013-01-05,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,23.2,5.1,14.2,0.0,99.0,1.9,5.0,,,,52.0,82.0,28.0
2013-01-06,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,20.4,3.7,12.0,0.0,23.0,1.1,4.4,,,,46.0,76.0,26.0
2013-01-07,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,21.7,2.8,12.2,0.0,23.0,1.9,4.4,,,,50.0,77.0,29.0
2013-01-08,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,18.0,2.8,10.4,0.0,99.0,1.1,4.2,,,,60.0,90.0,36.0
2013-01-09,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,13.4,0.4,6.9,0.0,34.0,1.1,13.9,,,,73.0,94.0,46.0
2013-01-10,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,17.8,5.9,11.8,0.0,34.0,3.1,15.8,,,,52.0,78.0,41.0
2013-01-11,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,17.7,3.3,10.5,0.0,32.0,1.7,8.6,,,,51.0,84.0,31.0
2013-01-12,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,16.2,3.4,9.8,0.0,30.0,2.5,9.4,,,,57.0,84.0,39.0
2013-01-13,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,11.4,2.9,7.2,0.0,34.0,3.9,14.7,,,,51.0,75.0,40.0
2013-01-14,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,10.4,5.5,8.0,0.0,32.0,3.9,15.8,,,,49.0,59.0,44.0
2013-01-15,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,15.5,6.5,11.0,0.0,29.0,5.0,14.7,,,,44.0,60.0,35.0
2013-01-16,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,15.1,5.9,10.5,0.0,31.0,2.8,14.2,,,,56.0,68.0,47.0
2013-01-17,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,16.3,6.8,11.6,0.0,36.0,4.2,15.8,,,,49.0,71.0,42.0
2013-01-18,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,19.9,4.2,12.0,0.0,29.0,3.1,10.8,,,,64.0,89.0,49.0
2013-01-19,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,14.5,5.5,10.0,1.6,29.0,1.4,11.1,,,,76.0,89.0,61.0
2013-01-20,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,11.4,6.5,9.0,0.0,31.0,6.1,19.2,,,,46.0,80.0,37.0
2013-01-21,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,12.7,0.3,6.5,0.0,34.0,2.2,12.8,,,,57.0,88.0,34.0
2013-01-22,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,11.9,-1.3,5.3,1.4,29.0,3.9,12.5,,,,69.0,86.0,49.0
2013-01-23,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,10.0,3.1,6.6,0.2,34.0,7.2,17.8,,,,44.0,69.0,37.0
2013-01-24,8439X,SEGORBE,12,CASTELLON,394744N,002907W,400.0,13.0,6.3,9.6,1.8,31.0,7.8,22.8,,,,48.0,84.0,38.0
