date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2015-06-25,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,34.3,17.7,26.0,0.0,10.0,1.4,6.4,,,,34.0,76.0,19.0
2015-06-26,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,36.3,19.5,27.9,0.0,8.0,0.8,5.6,,,,27.0,62.0,16.0
2015-06-27,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,38.3,21.5,29.9,0.0,34.0,1.7,5.3,,,,24.0,45.0,15.0
2015-06-28,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,40.3,21.9,31.1,0.0,18.0,1.7,6.7,,,,20.0,40.0,14.0
2015-06-29,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,41.2,22.5,31.8,0.0,11.0,1.9,6.7,,,,22.0,49.0,12.0
2015-06-30,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,41.0,23.2,32.1,0.0,23.0,2.5,9.7,,,,25.0,43.0,11.0
2015-07-01,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,38.5,22.3,30.4,0.0,26.0,1.9,8.9,,,,24.0,44.0,15.0
2015-07-02,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,,,,0.0,,1.1,,,,,27.0,,
2015-07-03,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,38.4,20.7,29.6,0.0,14.0,1.7,10.0,,,,41.0,78.0,20.0
2015-07-04,4064Y,ALCAZAR DE SAN JUAN,13,CIUDAD REAL,392327N,031257W,640.0,39.7,21.1,30.4,0.0,20.0,1.9,9.4,,,,32.0,66.0,15.0
