date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,4.7,-1.3,1.7,0.6,,,,,,,90.0,100.0,79.0
2013-01-02,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,4.7,-1.3,1.7,0.0,,,,,,,82.0,100.0,67.0
2013-01-03,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,8.6,-3.3,2.6,0.0,,,,,,,51.0,91.0,28.0
2013-01-04,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,13.9,-5.4,4.2,0.0,,,,,,,60.0,97.0,30.0
2013-01-05,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,,,,0.0,,,,,,,62.0,,
2013-01-06,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,13.6,-4.2,4.7,0.0,,,,,,,57.0,91.0,28.0
2013-01-07,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,11.9,-4.8,3.6,0.0,,,,,,,58.0,91.0,28.0
2013-01-08,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,11.0,-6.1,2.4,0.0,,,,,,,54.0,92.0,24.0
2013-01-09,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,1.9,-6.2,-2.2,0.2,,,,,,,94.0,99.0,74.0
2013-01-10,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,7.1,0.6,3.8,0.0,,,,,,,91.0,100.0,79.0
2013-01-11,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,7.8,-1.0,3.4,0.2,,,,,,,80.0,100.0,54.0
2013-01-12,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,5.4,2.4,3.9,2.2,,,,,,,89.0,100.0,77.0
2013-01-13,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,2.5,-1.8,0.4,5.0,,,,,,,89.0,97.0,81.0
2013-01-14,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,2.8,-2.7,0.0,2.8,,,,,,,83.0,95.0,71.0
2013-01-15,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,3.3,-1.6,0.8,3.0,,,,,,,84.0,98.0,76.0
2013-01-16,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,4.0,-0.4,1.8,11.6,,,,,,,97.0,100.0,88.0
2013-01-17,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,6.4,3.1,4.8,5.8,,,,,,,90.0,100.0,77.0
2013-01-18,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,7.6,3.7,5.6,22.4,,,,,,,100.0,100.0,92.0
2013-01-19,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,6.8,0.3,3.6,15.6,,,,,,,96.0,99.0,88.0
2013-01-20,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,2.2,-0.5,0.8,8.8,,,,,,,86.0,99.0,79.0
2013-01-21,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,3.3,-4.0,-0.4,3.2,,,,,,,77.0,100.0,62.0
2013-01-22,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,-0.1,-4.3,-2.2,0.2,,,,,,,95.0,98.0,88.0
2013-01-23,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,,,,16.6,,,,,,,87.0,,
2013-01-24,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,3.6,-2.0,0.8,10.4,,,,,,,77.0,100.0,65.0
2013-01-25,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,5.5,-5.8,-0.2,4.6,,,,,,,81.0,100.0,59.0
2013-01-26,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,7.5,-1.4,3.0,0.0,,,,,,,73.0,100.0,53.0
2013-01-27,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,,,,10.2,,,,,,,97.0,,
2013-01-28,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,,,,0.0,,,,,,,72.0,,
2013-01-29,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,8.7,-4.7,2.0,0.0,,,,,,,70.0,97.0,50.0
2013-01-30,3040Y,BETETA,16,CUENCA,403418N,020435W,1214.0,,,,0.0,,,,,,,78.0,,
