date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,11.8,8.6,10.2,3.2,25.0,2.2,11.1,,,,78.0,94.0,58.0
2013-01-02,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.8,5.4,10.1,0.0,36.0,2.2,8.9,,,,65.0,87.0,53.0
2013-01-03,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,15.6,4.5,10.0,0.0,1.0,2.5,10.3,,,,48.0,83.0,33.0
2013-01-04,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,17.7,7.1,12.4,0.0,33.0,1.4,8.9,,,,56.0,73.0,40.0
2013-01-05,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,19.5,10.2,14.8,0.0,32.0,1.1,7.2,,,,59.0,68.0,38.0
2013-01-06,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,17.8,10.7,14.2,0.0,32.0,3.3,10.3,,,,66.0,78.0,32.0
2013-01-07,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,17.6,9.1,13.4,0.0,34.0,3.3,10.0,,,,65.0,92.0,32.0
2013-01-08,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.6,8.0,11.3,0.0,30.0,0.6,4.4,,,,87.0,99.0,78.0
2013-01-09,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.8,7.6,10.2,0.0,34.0,1.7,5.8,,,,89.0,99.0,78.0
2013-01-10,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.7,6.7,10.7,0.0,1.0,2.5,7.2,,,,78.0,90.0,65.0
2013-01-11,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,15.0,7.5,11.2,0.0,35.0,0.8,6.4,,,,75.0,88.0,64.0
2013-01-12,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.6,4.3,8.4,0.0,99.0,2.2,6.4,,,,72.0,86.0,61.0
2013-01-13,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,9.9,6.0,8.0,0.2,30.0,1.1,10.6,,,,84.0,89.0,67.0
2013-01-14,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,13.0,4.9,9.0,0.0,31.0,1.7,6.7,,,,73.0,86.0,52.0
2013-01-15,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,13.3,4.6,9.0,0.0,30.0,2.2,8.3,,,,57.0,82.0,31.0
2013-01-16,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,11.1,3.1,7.1,0.0,32.0,1.9,7.8,,,,67.0,87.0,48.0
2013-01-17,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,11.7,4.4,8.0,0.0,35.0,1.9,7.5,,,,74.0,84.0,63.0
2013-01-18,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.3,4.2,8.2,0.0,20.0,1.4,8.1,,,,77.0,92.0,65.0
2013-01-19,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,15.2,9.6,12.4,4.6,22.0,3.1,20.8,,,,96.0,100.0,82.0
2013-01-20,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,13.8,7.6,10.7,0.0,9.0,3.9,10.0,,,,75.0,88.0,65.0
2013-01-21,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.6,5.7,9.2,0.6,33.0,2.8,8.1,,,,78.0,93.0,60.0
2013-01-23,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,11.3,5.8,8.6,0.0,8.0,1.1,8.1,,,,68.0,80.0,56.0
2013-01-24,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.1,5.1,8.6,0.0,32.0,2.5,8.1,,,,66.0,81.0,55.0
2013-01-25,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.8,4.7,9.8,0.0,32.0,1.9,7.5,,,,46.0,78.0,35.0
2013-01-26,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.4,5.5,9.0,0.0,36.0,2.8,10.0,,,,73.0,88.0,54.0
2013-01-27,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.7,6.2,10.4,0.2,27.0,1.1,10.0,,,,72.0,86.0,59.0
2013-01-28,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,15.6,7.7,11.6,0.0,7.0,1.7,8.1,,,,83.0,97.0,63.0
2013-01-29,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,16.3,8.5,12.4,0.0,20.0,1.4,8.9,,,,76.0,88.0,54.0
2013-01-30,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,17.4,7.2,12.3,0.0,31.0,0.8,5.6,,,,68.0,76.0,50.0
2013-01-31,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,17.7,10.7,14.2,0.0,20.0,1.7,6.1,,,,79.0,93.0,62.0
2013-02-01,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,18.0,10.8,14.4,4.8,21.0,1.9,8.3,,,,71.0,84.0,54.0
2013-02-02,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,13.6,6.9,10.2,0.2,9.0,1.4,8.9,,,,74.0,96.0,44.0
2013-02-03,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,15.1,4.6,9.8,0.0,99.0,3.6,19.7,,,,25.0,50.0,12.0
2013-02-04,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.7,5.0,9.8,0.0,20.0,1.7,7.8,,,,51.0,74.0,32.0
2013-02-05,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,16.9,7.7,12.3,0.0,31.0,2.5,6.7,,,,74.0,92.0,58.0
2013-02-06,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.4,5.6,10.0,0.6,26.0,3.1,10.6,,,,58.0,85.0,34.0
2013-02-07,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,11.0,3.0,7.0,0.0,34.0,2.2,16.1,,,,39.0,72.0,24.0
2013-02-08,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,9.3,3.1,6.2,0.0,4.0,1.4,9.7,,,,56.0,66.0,46.0
2013-02-09,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.6,2.8,7.7,0.0,7.0,2.2,9.4,,,,50.0,67.0,34.0
2013-02-10,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.4,5.1,8.8,0.0,24.0,3.9,15.3,,,,69.0,76.0,56.0
2013-02-11,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,13.6,7.1,10.4,0.0,28.0,1.9,7.8,,,,60.0,71.0,48.0
2013-02-12,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,15.5,5.7,10.6,0.0,8.0,2.8,8.9,,,,58.0,69.0,46.0
2013-02-13,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,14.9,4.6,9.8,0.0,1.0,2.8,8.3,,,,65.0,76.0,48.0
2013-02-14,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,16.5,6.0,11.2,0.0,32.0,2.2,7.5,,,,69.0,91.0,56.0
2013-02-15,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,16.7,7.9,12.3,0.0,20.0,2.2,8.3,,,,72.0,92.0,56.0
2013-02-16,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,11.6,8.5,10.0,0.4,99.0,1.7,4.7,,,,82.0,92.0,57.0
2013-02-17,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,12.8,9.0,10.9,0.0,8.0,2.2,5.6,,,,80.0,89.0,69.0
2013-02-18,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,13.4,9.4,11.4,0.2,10.0,4.7,8.9,,,,84.0,92.0,75.0
2013-02-19,0281Y,BLANES,17,GIRONA,414037N,024818E,45.0,17.2,8.7,13.0,0.0,16.0,1.9,5.0,,,,71.0,85.0,53.0
