date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,7.4,-1.4,3.0,0.8,26.0,1.9,8.1,0.5,901.1,895.3,84.0,97.0,64.0
2013-01-02,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,6.6,-2.1,2.2,,32.0,2.5,10.6,1.9,906.9,900.9,83.0,100.0,63.0
2013-01-03,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,9.0,-6.7,1.2,0.0,10.0,0.8,5.3,6.7,916.0,906.9,65.0,96.0,23.0
2013-01-04,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,14.0,-7.8,3.1,0.0,13.0,0.8,2.2,6.7,915.9,911.9,68.0,92.0,36.0
2013-01-05,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,15.1,-7.2,4.0,0.0,32.0,0.6,5.3,6.8,912.5,908.1,67.0,95.0,29.0
2013-01-06,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,15.7,-8.2,3.8,0.0,99.0,0.6,2.5,6.8,908.8,904.7,64.0,95.0,28.0
2013-01-07,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,15.6,-8.1,3.8,0.0,23.0,0.6,3.6,6.8,906.3,903.0,62.0,93.0,24.0
2013-01-08,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,14.5,-9.4,2.6,,28.0,0.8,3.9,6.9,906.6,903.5,66.0,93.0,23.0
2013-01-09,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,3.7,-8.9,-2.6,,28.0,1.9,6.9,0.0,904.4,902.1,92.0,98.0,82.0
2013-01-10,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,8.8,-2.2,3.3,0.0,26.0,1.9,7.5,0.8,903.4,901.1,89.0,100.0,72.0
2013-01-11,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,9.4,-2.2,3.6,0.0,27.0,1.4,6.4,6.9,902.4,898.9,77.0,100.0,50.0
2013-01-12,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,7.9,2.6,5.2,3.6,27.0,3.3,11.7,1.6,899.3,890.4,83.0,95.0,67.0
2013-01-13,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,3.9,-0.2,1.8,,26.0,3.1,11.1,1.9,895.8,889.9,80.0,96.0,65.0
2013-01-14,3013,MOLINA DE ARAGÓN,19,GUADALAJARA,405030N,015244W,1062.0,5.4,-2.4,1.5,,28.0,3.3,9.7,2.0,898.7,895.8,76.0,94.0,60.0
