date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,10.9,8.9,9.9,22.8,22.0,4.2,12.2,,,,90.0,94.0,74.0
2013-01-02,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,10.9,6.1,8.5,1.4,32.0,0.8,9.7,,,,81.0,94.0,69.0
2013-01-03,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,12.6,5.8,9.2,0.0,7.0,0.8,5.3,,,,70.0,87.0,54.0
2013-01-04,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,10.9,3.8,7.4,0.0,21.0,0.6,5.0,,,,81.0,95.0,68.0
2013-01-05,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,8.0,6.2,7.1,0.0,21.0,0.3,2.8,,,,98.0,99.0,94.0
2013-01-06,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,10.0,6.6,8.3,0.0,99.0,0.8,3.6,,,,92.0,98.0,83.0
2013-01-07,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,8.1,6.2,7.2,0.0,24.0,1.4,4.7,,,,93.0,98.0,86.0
2013-01-08,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,12.7,4.8,8.8,0.0,99.0,0.0,3.1,,,,84.0,97.0,66.0
2013-01-09,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,11.0,3.7,7.4,0.6,21.0,0.0,3.3,,,,84.0,98.0,67.0
2013-01-10,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,14.8,8.5,11.6,4.6,25.0,3.9,11.9,,,,83.0,94.0,67.0
2013-01-11,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,13.7,7.0,10.4,0.0,22.0,1.4,8.6,,,,72.0,90.0,58.0
2013-01-12,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,11.4,5.4,8.4,19.2,29.0,2.2,11.1,,,,85.0,93.0,56.0
2013-01-13,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,7.1,5.1,6.1,24.8,23.0,3.9,12.2,,,,86.0,95.0,80.0
2013-01-14,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,9.0,5.4,7.2,51.0,24.0,3.9,19.4,,,,89.0,95.0,73.0
2013-01-15,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,10.4,7.6,9.0,58.4,24.0,5.6,25.3,,,,85.0,97.0,67.0
2013-01-16,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,12.0,5.6,8.8,42.0,25.0,6.7,18.3,,,,91.0,98.0,80.0
2013-01-17,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,7.4,3.2,5.3,10.8,25.0,0.6,4.2,,,,78.0,99.0,42.0
2013-01-18,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,17.0,3.9,10.4,29.0,24.0,3.1,17.8,,,,93.0,100.0,67.0
2013-01-19,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,15.8,6.9,11.4,28.6,28.0,3.1,18.6,,,,69.0,99.0,54.0
2013-01-20,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,9.9,6.1,8.0,15.6,33.0,4.2,18.3,,,,75.0,96.0,65.0
2013-01-21,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,10.3,4.7,7.5,8.8,24.0,5.3,19.4,,,,80.0,90.0,48.0
2013-01-22,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,9.9,3.8,6.8,7.0,17.0,3.9,16.1,,,,61.0,92.0,45.0
2013-01-23,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,9.1,3.9,6.5,53.2,25.0,5.0,19.2,,,,72.0,96.0,56.0
2013-01-24,1012P,IRUN,20,GIPUZKOA,431935N,014748W,120.0,9.3,5.3,7.3,8.6,25.0,6.4,20.3,,,,83.0,93.0,68.0
