date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2021-10-25,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,,,,0.0,16.0,1.7,4.7,,,,,,
2021-10-26,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,6.9,0.3,3.6,0.0,1.0,1.7,6.4,,,,65.0,87.0,15.0
2021-10-27,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,9.4,1.9,5.6,0.0,10.0,1.7,7.2,,,,,95.0,15.0
2021-10-28,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,4.3,-0.1,2.1,2.2,14.0,6.4,12.5,,,,89.0,98.0,78.0
2021-10-29,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,2.7,-0.1,1.3,40.2,10.0,6.9,20.8,,,,98.0,99.0,92.0
2021-10-30,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,6.1,1.9,4.0,3.8,10.0,4.4,18.6,,,,98.0,99.0,98.0
2021-10-31,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,6.9,2.8,4.8,28.4,24.0,4.4,13.9,,,,98.0,99.0,98.0
2021-11-01,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,3.6,-3.9,-0.2,0.2,30.0,4.4,10.8,,,,98.0,99.0,94.0
2021-11-02,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,-0.7,-4.0,-2.4,7.2,31.0,4.7,14.7,,,,99.0,99.0,96.0
2021-11-03,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,-3.4,-6.4,-4.9,1.8,,,,,,,96.0,97.0,94.0
2021-11-04,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,0.4,-5.9,-2.8,0.0,,,,,,,96.0,98.0,93.0
2021-11-05,9195C,ASTÚN- LA RACA,22,HUESCA,424735N,003019W,2276.0,-4.7,-7.6,-6.2,3.2,7.0,3.3,12.2,,,,92.0,96.0,87.0
