date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,6.4,-3.4,1.5,3.4,9.0,0.6,3.6,,,,88.0,99.0,75.0
2013-01-02,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,9.1,-1.3,3.9,0.0,5.0,2.8,12.8,,,,,100.0,30.0
2013-01-03,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,13.8,-3.4,5.2,0.0,99.0,1.1,5.3,,,,,63.0,11.0
2013-01-04,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,13.6,-3.9,4.8,0.0,8.0,1.1,6.1,,,,71.0,97.0,45.0
2013-01-05,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,21.5,-3.4,9.0,0.0,5.0,1.7,9.2,,,,43.0,95.0,10.0
2013-01-06,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,21.8,1.1,11.4,0.0,7.0,1.1,6.1,,,,35.0,64.0,17.0
2013-01-07,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,17.9,-3.0,7.4,0.0,11.0,0.8,3.9,,,,50.0,84.0,25.0
2013-01-08,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,17.6,-4.8,6.4,0.0,8.0,0.3,2.8,,,,52.0,92.0,24.0
2013-01-09,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,14.2,-6.4,3.9,0.0,99.0,1.4,4.2,,,,54.0,92.0,24.0
2013-01-10,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,16.3,-3.6,6.4,0.0,22.0,2.2,8.3,,,,52.0,83.0,29.0
2013-01-11,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,12.8,-5.8,3.5,0.0,8.0,1.1,5.0,,,,47.0,92.0,18.0
2013-01-12,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,10.2,-9.3,0.4,0.4,27.0,1.1,7.2,,,,58.0,92.0,27.0
2013-01-13,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,7.3,-1.3,3.0,0.0,9.0,2.5,9.2,,,,69.0,97.0,41.0
2013-01-14,9590,MARTINET  ,25,LLEIDA,422144N,014136E,1038.0,7.2,-3.5,1.8,0.8,23.0,2.5,10.8,,,,44.0,90.0,31.0
