date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,1.9,-1.3,0.3,2.2,22.0,2.2,12.5,,,,96.0,100.0,85.0
2013-01-02,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-0.8,-2.5,-1.6,3.6,,0.0,,,,,100.0,100.0,100.0
2013-01-03,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,6.6,-2.3,2.2,0.0,,0.8,,,,,63.0,100.0,41.0
2013-01-04,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,10.0,3.2,6.6,0.0,18.0,4.4,14.4,,,,,62.0,42.0
2013-01-05,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,11.5,2.3,6.9,0.0,18.0,2.2,12.8,,,,40.0,69.0,14.0
2013-01-06,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,13.9,7.5,10.7,0.0,15.0,3.6,8.3,,,,20.0,38.0,13.0
2013-01-07,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,11.0,4.9,8.0,0.0,19.0,3.6,8.6,,,,34.0,49.0,24.0
2013-01-08,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,8.3,2.2,5.2,0.0,18.0,3.6,7.5,,,,19.0,40.0,13.0
2013-01-09,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,6.0,-1.1,2.4,0.4,2.0,2.8,11.7,,,,66.0,96.0,17.0
2013-01-10,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,6.2,-0.4,2.9,4.6,34.0,2.8,10.6,,,,84.0,100.0,65.0
2013-01-11,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,4.1,-3.8,0.2,0.0,34.0,3.6,15.3,,,,56.0,100.0,35.0
2013-01-12,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,1.0,-2.9,-1.0,0.2,36.0,5.8,23.3,,,,84.0,100.0,69.0
2013-01-13,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-1.7,-4.9,-3.3,0.0,31.0,2.8,9.4,,,,86.0,100.0,69.0
2013-01-14,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-1.9,-4.1,-3.0,5.4,32.0,2.5,8.6,,,,100.0,100.0,100.0
2013-01-15,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-0.6,-2.5,-1.6,3.0,35.0,2.8,9.2,,,,100.0,100.0,100.0
2013-01-16,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,2.4,-2.1,0.2,7.8,99.0,4.2,12.2,,,,100.0,100.0,99.0
2013-01-17,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,3.5,0.2,1.8,1.2,32.0,4.2,15.8,,,,100.0,100.0,92.0
2013-01-18,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,5.8,2.8,4.3,45.2,34.0,9.2,35.0,,,,98.0,100.0,87.0
2013-01-19,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,5.1,-3.2,1.0,10.2,19.0,6.9,35.6,,,,83.0,100.0,68.0
2013-01-20,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-0.4,-4.2,-2.3,3.0,,,,,,,100.0,100.0,100.0
2013-01-21,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-1.8,-5.1,-3.4,10.6,,,,,,,100.0,100.0,94.0
2013-01-22,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,-3.2,-6.7,-5.0,6.4,0.0,0.0,0.0,,,,100.0,100.0,89.0
2013-01-23,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,0.1,-6.5,-3.2,2.2,0.0,0.0,0.0,,,,100.0,100.0,100.0
2013-01-24,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,0.3,-3.8,-1.8,5.6,0.0,0.0,0.0,,,,100.0,100.0,100.0
2013-01-25,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,4.8,-4.7,0.0,4.6,29.0,0.8,10.8,,,,100.0,100.0,91.0
2013-01-26,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,6.7,-1.4,2.6,0.0,34.0,5.0,32.2,,,,66.0,100.0,20.0
2013-01-29,9115X,VALDEZCARAY,26,LA RIOJA,421518N,025805W,1630.0,11.9,2.1,7.0,0.0,21.0,1.9,14.7,,,,46.0,78.0,18.0
