date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,-0.2,-1.8,-1.0,0.7,34.0,4.2,12.8,0.0,814.4,809.0,100.0,100.0,100.0
2013-01-02,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,-1.3,-3.4,-2.4,0.0,35.0,2.2,8.1,0.0,819.9,814.4,100.0,100.0,100.0
2013-01-03,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,1.9,-3.3,-0.7,0.0,10.0,1.7,8.1,6.7,827.5,819.9,74.0,100.0,24.0
2013-01-04,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,10.7,1.0,5.8,0.0,9.0,2.2,8.1,6.7,827.4,826.0,35.0,46.0,22.0
2013-01-05,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,10.6,5.4,8.0,0.0,36.0,2.5,7.2,8.0,826.0,822.8,42.0,47.0,11.0
2013-01-06,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,16.3,6.8,11.6,0.0,16.0,0.8,4.7,8.1,822.8,820.1,13.0,32.0,7.0
2013-01-07,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,15.3,4.7,10.0,0.0,17.0,3.1,6.9,8.1,820.1,818.1,17.0,28.0,9.0
2013-01-08,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,10.9,-0.5,5.2,0.0,16.0,5.6,10.8,8.2,819.4,816.5,21.0,39.0,11.0
2013-01-09,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,2.4,-2.7,-0.2,12.1,30.0,3.9,15.0,0.0,816.7,815.0,99.0,100.0,32.0
2013-01-10,2462,PUERTO DE NAVACERRADA,28,MADRID,404736N,040039W,1892.0,1.5,0.4,1.0,0.8,33.0,4.4,16.7,0.0,816.8,815.1,100.0,100.0,100.0
