date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.9,7.2,12.6,0.0,36.0,1.7,9.2,4.6,1018.6,1014.3,64.0,84.0,41.0
2013-01-02,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.9,11.4,14.6,0.0,35.0,2.8,10.0,7.9,1023.4,1018.0,33.0,54.0,25.0
2013-01-03,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.1,9.1,13.1,0.0,8.0,3.1,8.9,5.5,1034.8,1023.4,45.0,61.0,35.0
2013-01-04,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.3,7.9,12.6,0.0,20.0,1.7,5.8,8.1,1035.0,1030.7,62.0,82.0,44.0
2013-01-05,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,18.9,6.4,12.6,0.0,15.0,0.8,15.6,8.4,1030.7,1024.2,59.0,82.0,25.0
2013-01-06,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,19.7,7.4,13.6,0.0,21.0,1.1,4.4,8.4,1025.0,1022.0,56.0,75.0,23.0
2013-01-07,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,18.1,6.8,12.4,0.0,20.0,1.1,3.9,8.4,1022.6,1020.4,60.0,75.0,41.0
2013-01-08,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,16.8,7.1,12.0,0.0,19.0,1.4,4.2,8.4,1024.5,1021.7,67.0,75.0,55.0
2013-01-09,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,15.9,6.7,11.3,0.0,30.0,1.7,5.0,7.7,1022.4,1020.6,66.0,83.0,42.0
2013-01-10,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.8,8.0,12.9,0.0,21.0,1.4,6.9,8.0,1021.8,1018.6,68.0,80.0,53.0
2013-01-11,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.8,10.3,14.0,0.0,12.0,2.2,6.1,8.1,1019.7,1017.7,63.0,91.0,39.0
2013-01-12,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,18.7,7.5,13.1,0.0,29.0,1.4,7.5,7.8,1018.6,1013.0,68.0,90.0,35.0
2013-01-13,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,18.1,9.5,13.8,0.0,30.0,4.7,14.2,6.8,1013.2,1008.8,35.0,64.0,21.0
2013-01-14,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.1,8.9,13.0,0.0,35.0,5.0,15.8,7.9,1017.1,1012.7,31.0,53.0,23.0
2013-01-15,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,19.7,8.4,14.0,0.0,26.0,4.2,12.5,8.0,1017.0,1012.4,35.0,52.0,20.0
2013-01-16,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,15.3,12.1,13.7,0.0,30.0,8.3,22.2,0.0,1015.8,1007.3,41.0,50.0,37.0
2013-01-17,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,21.9,11.7,16.8,0.0,30.0,4.2,17.8,6.6,1010.8,1008.1,39.0,61.0,24.0
2013-01-18,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,21.8,15.5,18.6,0.0,28.0,6.7,18.1,0.5,1009.6,999.0,47.0,72.0,42.0
2013-01-19,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,17.5,11.6,14.6,3.8,28.0,5.6,28.3,2.7,999.0,983.2,59.0,79.0,39.0
2013-01-20,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,16.1,10.1,13.1,0.0,27.0,8.1,20.6,5.6,1003.7,987.5,39.0,57.0,29.0
2013-01-21,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,18.7,8.7,13.7,0.0,29.0,4.2,15.8,9.4,1011.3,999.7,36.0,67.0,26.0
2013-01-22,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,16.8,7.5,12.2,0.0,31.0,5.3,21.7,7.4,1011.5,1003.8,44.0,55.0,23.0
2013-01-23,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,14.5,7.7,11.1,0.0,30.0,6.4,22.2,9.2,1014.7,1004.8,32.0,58.0,22.0
2013-01-24,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,20.7,12.9,16.8,0.0,30.0,5.6,22.8,9.0,1012.0,1004.9,34.0,51.0,25.0
2013-01-25,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,18.7,9.4,14.0,0.0,22.0,1.7,7.5,3.4,1013.7,1010.7,59.0,77.0,32.0
2013-01-26,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,24.5,9.1,16.8,0.0,32.0,3.6,11.4,9.2,1016.5,1010.0,40.0,78.0,13.0
2013-01-27,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,19.8,8.7,14.2,0.0,30.0,1.9,19.7,7.6,1016.2,1012.0,57.0,68.0,22.0
2013-01-28,7002Y,ÁGUILAS,30,MURCIA,372502N,013513W,32.0,19.9,9.3,14.6,0.0,29.0,1.4,20.8,8.1,1024.9,1013.0,38.0,78.0,20.0
