date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,10.3,6.9,8.6,27.0,31.0,0.3,5.6,,,,95.0,99.0,71.0
2013-01-02,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,10.0,1.1,5.6,0.5,5.0,2.2,7.5,,,,79.0,99.0,63.0
2013-01-03,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.7,-0.2,6.2,0.0,7.0,0.6,6.1,,,,76.0,99.0,40.0
2013-01-04,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.5,-1.5,7.0,0.1,22.0,0.3,1.9,,,,84.0,100.0,53.0
2013-01-05,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,6.8,3.8,5.3,0.1,8.0,0.3,2.5,,,,98.0,99.0,97.0
2013-01-06,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,7.7,3.9,5.8,0.1,20.0,0.6,2.8,,,,91.0,98.0,86.0
2013-01-07,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,6.5,3.5,5.0,0.0,99.0,0.6,2.5,,,,94.0,97.0,89.0
2013-01-08,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,9.2,-0.1,4.6,0.0,18.0,0.6,2.8,,,,96.0,99.0,73.0
2013-01-09,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,8.4,0.8,4.6,2.4,22.0,0.3,1.9,,,,97.0,99.0,80.0
2013-01-10,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.5,5.1,9.8,3.3,31.0,0.8,6.9,,,,89.0,99.0,64.0
2013-01-11,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.9,-0.1,6.4,0.0,13.0,0.0,2.2,,,,93.0,99.0,52.0
2013-01-12,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.5,-0.6,5.4,12.0,28.0,0.3,6.4,,,,95.0,100.0,70.0
2013-01-13,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,6.6,3.5,5.0,21.0,28.0,0.6,3.9,,,,95.0,99.0,89.0
2013-01-14,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,5.4,1.8,3.6,56.0,99.0,0.3,3.3,,,,97.0,99.0,91.0
2013-01-15,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,8.6,2.7,5.6,72.1,22.0,0.6,11.1,,,,90.0,99.0,82.0
2013-01-16,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.8,6.6,9.2,36.3,28.0,0.8,10.0,,,,96.0,99.0,81.0
2013-01-17,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,7.8,3.5,5.6,12.3,6.0,0.3,3.3,,,,69.0,98.0,38.0
2013-01-18,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.6,3.3,9.4,21.2,20.0,0.8,12.8,,,,88.0,99.0,61.0
2013-01-19,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.5,6.5,10.5,40.3,31.0,1.4,12.2,,,,74.0,99.0,62.0
2013-01-20,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,7.9,4.8,6.4,9.7,99.0,0.6,9.7,,,,91.0,99.0,81.0
2013-01-21,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,7.4,-0.4,3.5,5.4,22.0,0.3,11.1,,,,88.0,99.0,68.0
2013-01-22,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,9.9,-0.8,4.6,9.6,18.0,3.3,13.1,,,,60.0,100.0,53.0
2013-01-23,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,5.7,0.6,3.2,63.8,24.0,0.6,8.6,,,,98.0,99.0,75.0
2013-01-24,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,8.2,3.4,5.8,22.8,34.0,1.4,10.0,,,,91.0,99.0,81.0
2013-01-25,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,8.2,-0.5,3.8,17.5,99.0,0.6,1.7,,,,89.0,100.0,62.0
2013-01-26,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.4,1.9,7.2,12.4,30.0,1.4,19.7,,,,78.0,99.0,61.0
2013-01-27,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.8,2.3,7.6,18.7,34.0,0.6,12.5,,,,83.0,99.0,49.0
2013-01-28,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.7,0.5,7.6,0.3,24.0,0.3,4.4,,,,80.0,99.0,50.0
2013-01-29,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.3,0.2,8.2,0.0,20.0,0.0,2.2,,,,77.0,99.0,45.0
2013-01-30,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.1,3.5,11.3,0.0,23.0,1.7,9.4,,,,67.0,99.0,44.0
2013-01-31,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,,,,,,0.6,,,,,78.0,,
2013-02-01,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,17.5,4.8,11.2,34.8,19.0,0.8,13.3,,,,65.0,99.0,44.0
2013-02-06,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,,,,,,1.4,,,,,,,
2013-03-01,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.7,1.0,6.8,0.1,12.0,1.1,8.3,,,,74.0,99.0,48.0
2013-03-02,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.6,-1.4,5.1,0.0,11.0,0.6,5.8,,,,74.0,100.0,51.0
2013-03-03,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,18.9,-2.8,8.0,0.0,23.0,1.7,8.6,,,,60.0,100.0,29.0
2013-03-04,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,18.7,5.4,12.0,0.0,8.0,1.9,12.8,,,,44.0,81.0,35.0
2013-03-05,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,17.2,11.1,14.2,0.0,14.0,3.1,13.9,,,,60.0,83.0,49.0
2013-03-06,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,21.9,8.3,15.1,0.0,21.0,0.6,9.4,,,,63.0,92.0,44.0
2013-03-07,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,21.0,9.8,15.4,13.6,21.0,2.2,15.0,,,,69.0,98.0,51.0
2013-03-08,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.2,5.9,12.6,4.0,22.0,1.1,14.2,,,,64.0,99.0,39.0
2013-03-09,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,17.9,3.0,10.4,0.0,22.0,1.9,11.1,,,,64.0,99.0,42.0
2013-03-10,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.8,5.1,11.0,0.0,22.0,2.2,13.3,,,,49.0,91.0,42.0
2013-03-11,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.9,6.9,11.9,18.1,20.0,2.2,15.0,,,,68.0,99.0,45.0
2013-03-12,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.9,0.1,6.0,15.9,30.0,0.6,7.2,,,,73.0,99.0,57.0
2013-03-19,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.9,3.2,9.6,4.6,14.0,1.4,10.6,,,,63.0,99.0,39.0
2013-03-20,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.5,0.1,7.3,0.0,29.0,0.8,7.5,,,,65.0,98.0,36.0
2013-03-21,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,21.6,-1.3,10.2,0.0,18.0,1.1,17.5,,,,56.0,99.0,31.0
2013-03-22,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,21.5,7.0,14.2,1.5,20.0,1.7,11.7,,,,44.0,98.0,35.0
2013-03-23,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.6,4.6,12.1,0.0,32.0,1.4,5.6,,,,62.0,99.0,34.0
2013-03-24,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.9,1.5,10.7,1.5,33.0,0.3,7.2,,,,68.0,99.0,37.0
2013-03-25,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.9,7.7,11.3,14.1,24.0,0.6,6.1,,,,81.0,99.0,49.0
2013-03-26,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.3,8.8,12.0,1.9,6.0,0.3,3.9,,,,81.0,99.0,64.0
2013-03-27,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.8,9.5,13.2,18.3,8.0,0.6,4.2,,,,85.0,99.0,62.0
2013-03-28,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,13.8,7.8,10.8,4.9,7.0,0.6,4.2,,,,87.0,99.0,71.0
2013-03-29,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,20.3,9.1,14.7,27.4,22.0,1.4,10.6,,,,74.0,99.0,50.0
2013-03-30,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.6,5.7,10.2,3.1,32.0,2.2,14.4,,,,66.0,99.0,54.0
2013-03-31,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.3,3.8,11.6,10.6,12.0,0.3,8.1,,,,64.0,99.0,38.0
2013-04-01,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.7,9.1,11.9,6.6,33.0,1.4,10.0,,,,71.0,98.0,53.0
2013-04-02,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.8,5.4,10.1,4.2,36.0,0.6,10.0,,,,82.0,99.0,52.0
2013-04-03,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,20.1,3.7,11.9,3.7,99.0,1.9,7.8,,,,62.0,99.0,33.0
2013-04-04,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.3,4.9,8.1,3.4,35.0,0.8,7.2,,,,89.0,99.0,77.0
2013-04-05,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,7.3,0.0,3.6,34.0,30.0,0.8,7.8,,,,86.0,99.0,62.0
2013-04-06,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,8.2,0.0,4.1,2.2,32.0,1.4,6.7,,,,79.0,100.0,67.0
2013-04-07,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.0,4.3,9.6,4.7,34.0,1.1,6.4,,,,61.0,97.0,39.0
2013-04-08,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.5,6.0,10.2,0.1,24.0,0.8,12.5,,,,65.0,98.0,45.0
2013-04-09,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.4,7.3,10.8,0.1,21.0,1.4,9.7,,,,61.0,94.0,44.0
2013-04-10,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,22.8,3.2,13.0,0.0,22.0,1.1,13.1,,,,62.0,99.0,40.0
2013-04-11,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,20.5,8.1,14.3,6.9,21.0,1.7,12.5,,,,55.0,98.0,45.0
2013-04-12,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.3,3.7,11.5,0.4,23.0,0.8,9.4,,,,73.0,99.0,43.0
2013-04-13,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,24.6,4.8,14.7,0.0,16.0,1.9,10.0,,,,56.0,99.0,33.0
2013-04-14,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,28.1,10.0,19.0,0.0,19.0,2.8,13.9,,,,32.0,81.0,26.0
2013-04-15,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,27.5,7.6,17.6,0.0,4.0,0.6,7.5,,,,63.0,98.0,35.0
2013-04-16,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,24.7,7.7,16.2,0.0,12.0,0.8,5.3,,,,69.0,99.0,45.0
2013-04-17,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,30.9,8.1,19.5,0.0,20.0,0.6,10.0,,,,62.0,99.0,31.0
2013-04-18,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.1,7.6,11.8,2.9,34.0,0.3,6.1,,,,85.0,98.0,69.0
2013-04-19,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.6,4.3,9.4,0.1,1.0,1.7,8.9,,,,69.0,96.0,50.0
2013-04-20,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.3,2.8,9.0,0.0,33.0,1.4,8.3,,,,62.0,99.0,34.0
2013-04-21,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.4,1.9,9.2,0.0,34.0,1.7,8.6,,,,65.0,99.0,45.0
2013-04-22,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,,,,,,1.4,,,,,68.0,,
2013-04-23,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,18.8,4.4,11.6,0.0,3.0,1.1,6.4,,,,65.0,99.0,47.0
2013-04-24,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,24.8,2.6,13.7,0.0,15.0,0.8,10.0,,,,57.0,99.0,33.0
2013-04-25,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,26.7,4.8,15.8,0.0,7.0,0.8,5.8,,,,60.0,99.0,37.0
2013-04-26,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,13.6,8.2,10.9,14.4,34.0,0.6,6.1,,,,92.0,98.0,81.0
2013-04-27,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.3,1.4,6.4,6.8,33.0,1.4,7.5,,,,76.0,99.0,53.0
2013-04-28,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.5,1.1,6.3,0.8,7.0,1.4,8.9,,,,78.0,99.0,49.0
2013-04-29,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.0,4.7,9.4,14.5,7.0,1.1,7.8,,,,80.0,99.0,46.0
2013-04-30,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,18.2,7.3,12.8,,28.0,1.4,8.9,,,,76.0,99.0,49.0
2013-05-15,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.3,6.6,9.0,7.8,7.0,0.6,5.3,,,,92.0,98.0,78.0
2013-05-16,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.7,4.4,9.6,0.3,5.0,0.8,6.7,,,,74.0,99.0,49.0
2013-05-17,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,16.6,4.1,10.4,42.8,16.0,0.3,8.1,,,,83.0,99.0,52.0
2013-05-18,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,9.5,4.9,7.2,32.4,31.0,0.0,4.4,,,,95.0,99.0,91.0
2013-05-19,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.1,6.3,10.2,0.8,31.0,0.3,7.2,,,,82.0,99.0,63.0
2013-05-20,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.8,3.6,9.7,0.2,31.0,0.8,7.2,,,,67.0,99.0,46.0
2013-05-21,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,11.5,3.3,7.4,8.0,,0.6,,,,,95.0,99.0,89.0
2013-05-22,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,13.0,9.5,11.2,9.4,34.0,0.8,6.4,,,,91.0,99.0,78.0
2013-05-23,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.9,7.8,10.4,6.6,29.0,0.6,6.1,,,,82.0,99.0,65.0
2013-05-24,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.2,6.5,10.4,6.1,32.0,0.8,10.0,,,,77.0,99.0,54.0
2013-05-25,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,15.1,2.9,9.0,2.3,35.0,0.8,7.2,,,,70.0,98.0,51.0
2013-05-26,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,20.9,2.6,11.8,0.0,5.0,0.8,6.9,,,,65.0,99.0,43.0
2013-05-27,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,18.9,8.7,13.8,19.2,27.0,0.3,5.0,,,,81.0,97.0,67.0
2013-05-28,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.2,7.5,10.8,13.6,34.0,0.8,10.6,,,,81.0,99.0,56.0
2013-05-29,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.8,7.2,10.0,21.3,30.0,0.6,7.8,,,,88.0,99.0,68.0
2013-05-30,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.5,8.0,10.2,19.5,32.0,1.1,10.6,,,,89.0,99.0,73.0
2013-05-31,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,13.0,10.7,11.8,36.8,32.0,1.9,14.4,,,,90.0,99.0,82.0
2013-06-01,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.1,10.6,11.4,2.5,34.0,0.3,6.4,,,,96.0,99.0,91.0
2013-06-02,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,12.8,10.4,11.6,0.6,3.0,0.3,4.7,,,,93.0,99.0,80.0
2013-06-03,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,19.5,6.0,12.8,0.0,35.0,1.4,10.3,,,,69.0,99.0,53.0
2013-06-04,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,22.8,5.8,14.3,0.0,35.0,0.8,5.3,,,,72.0,99.0,49.0
2013-06-05,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,28.9,7.6,18.2,0.0,4.0,1.4,5.0,,,,62.0,99.0,31.0
2013-06-06,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,29.2,10.5,19.8,0.0,32.0,1.1,10.0,,,,63.0,98.0,36.0
2013-06-07,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,25.3,13.7,19.5,8.3,32.0,0.8,8.6,,,,80.0,97.0,48.0
2013-06-08,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,14.5,11.7,13.1,79.0,4.0,0.3,4.7,,,,94.0,98.0,88.0
2013-06-09,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,17.5,11.8,14.6,20.0,36.0,0.8,6.1,,,,88.0,99.0,72.0
2013-06-10,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,22.1,13.0,17.6,0.1,99.0,0.8,3.3,,,,77.0,98.0,54.0
2013-06-11,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,26.2,13.2,19.7,0.0,99.0,0.6,4.2,,,,67.0,98.0,49.0
2013-06-12,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,31.8,12.8,22.3,0.3,1.0,0.8,6.1,,,,64.0,99.0,39.0
2013-06-13,1002Y,"BAZTAN, IRURITA",31,NAVARRA,430809N,013235W,183.0,18.6,15.0,16.8,1.5,4.0,1.1,5.8,,,,84.0,96.0,68.0
