date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.8,12.2,15.0,0.0,35.0,6.7,12.8,,,,74.0,92.0,65.0
2013-01-02,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.3,12.2,14.8,0.0,2.0,5.6,12.5,,,,74.0,96.0,54.0
2013-01-03,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.6,11.5,14.6,0.0,2.0,3.3,8.6,,,,71.0,87.0,59.0
2013-01-04,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.2,12.3,15.2,0.0,17.0,5.3,12.2,,,,59.0,83.0,45.0
2013-01-05,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.5,12.3,14.9,0.0,14.0,5.6,13.3,,,,50.0,65.0,35.0
2013-01-06,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.6,12.0,15.3,0.0,15.0,3.6,8.9,,,,69.0,90.0,42.0
2013-01-07,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.3,11.7,15.5,0.0,13.0,3.6,7.5,,,,69.0,94.0,36.0
2013-01-08,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.5,11.9,15.7,0.0,13.0,2.2,8.1,,,,64.0,93.0,33.0
2013-01-09,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.2,12.5,16.8,0.0,14.0,2.2,7.8,,,,45.0,90.0,30.0
2013-01-10,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.1,12.6,16.8,0.0,99.0,2.5,7.8,,,,44.0,90.0,17.0
2013-01-11,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.7,12.5,16.6,0.0,12.0,2.5,9.2,,,,47.0,68.0,19.0
2013-01-12,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.9,12.1,16.0,0.0,13.0,3.3,8.9,,,,68.0,88.0,42.0
2013-01-13,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.1,10.9,14.5,0.0,2.0,4.4,11.7,,,,73.0,93.0,59.0
2013-01-14,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,16.9,12.1,14.5,0.0,2.0,10.0,16.7,,,,69.0,91.0,57.0
2013-01-15,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.4,11.2,14.3,0.0,99.0,5.6,10.8,,,,78.0,90.0,62.0
2013-01-16,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.9,11.0,15.0,0.0,13.0,2.8,8.3,,,,77.0,91.0,54.0
2013-01-17,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.0,9.9,13.4,0.0,36.0,3.6,10.6,,,,75.0,95.0,62.0
2013-01-18,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.0,12.3,15.2,0.0,99.0,5.3,9.7,,,,78.0,92.0,65.0
2013-01-19,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.1,12.8,16.0,1.0,31.0,9.4,16.1,,,,80.0,98.0,68.0
2013-01-20,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.0,12.5,14.8,0.0,36.0,5.8,13.6,,,,84.0,93.0,67.0
2013-01-21,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.9,13.7,15.8,1.4,1.0,5.3,10.3,,,,87.0,98.0,74.0
2013-01-22,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,16.2,12.5,14.4,0.0,36.0,8.1,16.7,,,,76.0,97.0,58.0
2013-01-23,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.1,12.8,15.0,0.0,2.0,11.1,17.8,,,,68.0,86.0,54.0
2013-01-24,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.2,12.5,14.8,0.0,99.0,8.3,14.7,,,,73.0,86.0,59.0
2013-01-25,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.0,13.3,15.2,0.4,36.0,8.1,14.7,,,,88.0,96.0,70.0
2013-01-26,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.6,13.5,15.6,2.0,36.0,8.6,14.4,,,,93.0,100.0,82.0
2013-01-27,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.5,12.6,15.0,0.0,2.0,6.9,12.8,,,,86.0,100.0,72.0
2013-01-28,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.0,12.2,15.6,0.0,35.0,4.4,9.7,,,,80.0,97.0,64.0
2013-01-29,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,23.0,12.6,17.8,0.0,14.0,2.2,6.7,,,,79.0,98.0,38.0
2013-01-30,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,22.5,13.9,18.2,0.0,14.0,4.2,10.6,,,,30.0,86.0,14.0
2013-01-31,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,23.7,16.3,20.0,0.0,12.0,6.1,13.6,,,,19.0,31.0,9.0
2013-02-01,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,24.7,15.0,19.8,0.0,13.0,2.5,10.3,,,,25.0,71.0,15.0
2013-02-02,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.1,12.6,16.4,0.0,2.0,7.8,14.4,,,,76.0,98.0,40.0
2013-02-03,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,15.4,12.8,14.1,0.0,36.0,10.3,16.7,,,,69.0,92.0,61.0
2013-02-04,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.0,11.6,15.3,0.0,11.0,7.5,18.1,,,,57.0,94.0,27.0
2013-02-05,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.0,12.7,15.4,0.0,10.0,6.1,15.0,,,,45.0,87.0,20.0
2013-02-06,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.3,11.1,14.2,0.0,2.0,4.7,11.7,,,,74.0,89.0,49.0
2013-02-07,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,15.6,12.0,13.8,0.0,2.0,9.7,18.1,,,,80.0,90.0,64.0
2013-02-08,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,15.2,12.0,13.6,0.0,35.0,8.9,17.2,,,,74.0,82.0,68.0
2013-02-09,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,16.8,11.7,14.2,0.0,1.0,10.6,18.9,,,,75.0,86.0,63.0
2013-02-10,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.1,11.8,16.0,0.0,1.0,5.3,14.7,,,,58.0,92.0,27.0
2013-02-11,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.0,11.5,14.8,0.0,3.0,5.6,10.3,,,,77.0,94.0,61.0
2013-02-12,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,16.7,12.0,14.4,0.0,36.0,10.3,17.8,,,,72.0,87.0,63.0
2013-02-13,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.2,12.5,14.8,0.0,36.0,9.2,18.1,,,,76.0,93.0,65.0
2013-02-14,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.3,12.0,16.6,0.0,12.0,4.4,10.6,,,,56.0,100.0,22.0
2013-02-15,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,22.4,14.4,18.4,0.0,6.0,4.2,10.6,,,,40.0,70.0,20.0
2013-02-16,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,24.4,15.5,20.0,0.0,12.0,4.2,10.0,,,,29.0,54.0,19.0
2013-02-17,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,24.2,14.8,19.5,0.0,28.0,2.8,8.9,,,,44.0,81.0,23.0
2013-02-18,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.6,11.5,15.0,5.4,35.0,4.4,13.3,,,,81.0,96.0,24.0
2013-02-19,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,16.4,11.4,13.9,0.4,32.0,7.5,13.3,,,,71.0,90.0,58.0
2013-02-20,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.0,11.3,14.6,0.0,34.0,4.4,10.3,,,,74.0,93.0,56.0
2013-02-21,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.8,12.5,16.2,0.0,30.0,3.6,10.8,,,,75.0,97.0,53.0
2013-02-22,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.3,12.9,16.1,0.0,34.0,5.3,10.6,,,,76.0,98.0,51.0
2013-02-23,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.7,12.4,15.0,0.0,36.0,6.4,12.2,,,,71.0,95.0,46.0
2013-02-24,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.7,11.5,15.1,0.0,3.0,6.9,13.3,,,,70.0,90.0,54.0
2013-02-25,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,23.0,11.0,17.0,0.0,6.0,4.7,11.4,,,,41.0,94.0,22.0
2013-02-26,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.9,11.9,15.4,0.0,33.0,3.3,9.2,,,,76.0,94.0,59.0
2013-02-27,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.3,12.2,14.8,0.0,35.0,5.0,13.1,,,,70.0,86.0,55.0
2013-02-28,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.0,10.5,13.8,0.0,2.0,3.3,9.7,,,,59.0,87.0,45.0
2013-03-01,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.3,10.0,13.6,0.0,16.0,1.9,6.9,,,,68.0,86.0,53.0
2013-03-02,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.0,11.5,14.8,0.0,27.0,4.4,12.2,,,,93.0,99.0,78.0
2013-03-03,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,17.2,12.4,14.8,36.2,23.0,5.0,19.2,,,,90.0,99.0,75.0
2013-03-04,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.5,12.1,15.3,7.6,23.0,6.4,17.2,,,,82.0,98.0,72.0
2013-03-05,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.6,13.8,16.2,4.2,28.0,6.7,15.8,,,,87.0,97.0,77.0
2013-03-06,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.8,14.8,18.3,0.0,26.0,4.4,10.8,,,,75.0,97.0,67.0
2013-03-07,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.3,14.7,18.0,0.0,29.0,3.9,9.2,,,,85.0,100.0,70.0
2013-03-08,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.1,15.3,17.7,0.0,28.0,3.6,8.3,,,,84.0,97.0,79.0
2013-03-09,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.5,14.0,17.2,0.0,31.0,5.3,11.4,,,,77.0,100.0,52.0
2013-03-10,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.8,12.8,15.8,0.0,36.0,4.4,10.0,,,,72.0,90.0,53.0
2013-03-11,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,19.0,11.9,15.4,0.0,2.0,3.6,8.3,,,,73.0,93.0,57.0
2013-03-12,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.6,11.3,16.0,0.0,35.0,3.3,7.5,,,,72.0,93.0,53.0
2013-03-13,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,20.6,13.5,17.0,0.0,3.0,3.9,8.6,,,,76.0,95.0,53.0
2013-03-14,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,18.4,12.3,15.4,0.0,13.0,3.6,9.2,,,,85.0,99.0,70.0
2013-03-15,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.6,11.8,16.7,0.0,15.0,4.2,8.1,,,,53.0,96.0,16.0
2013-03-16,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,26.7,15.2,21.0,0.0,28.0,3.6,11.7,,,,49.0,98.0,24.0
2013-03-17,C018J,TÍAS,35,LAS PALMAS,285811N,134125W,376.0,21.1,15.5,18.3,0.0,29.0,5.8,13.3,,,,82.0,99.0,65.0
