date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,6.3,2.3,4.3,0.0,27.0,3.6,10.6,,,,92.0,100.0,82.0
2013-01-02,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,6.7,-0.6,3.0,0.0,34.0,3.9,12.2,,,,87.0,98.0,79.0
2013-01-03,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,10.4,-3.6,3.4,0.0,7.0,1.7,8.1,,,,75.0,100.0,48.0
2013-01-04,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,12.3,-5.4,3.4,0.0,20.0,1.7,3.6,,,,66.0,94.0,27.0
2013-01-05,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,13.1,-4.1,4.5,0.0,26.0,2.8,7.8,,,,74.0,97.0,45.0
2013-01-06,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,14.7,-3.9,5.4,0.0,99.0,1.7,5.0,,,,78.0,99.0,44.0
2013-01-07,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,12.0,-4.3,3.8,0.2,25.0,2.5,5.6,,,,84.0,100.0,58.0
2013-01-08,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,2.8,-5.0,-1.1,0.2,22.0,1.1,5.0,,,,94.0,100.0,89.0
2013-01-09,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,7.2,0.5,3.8,4.8,24.0,3.3,8.3,,,,93.0,100.0,88.0
2013-01-10,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,9.9,4.8,7.4,0.2,26.0,3.3,9.7,,,,92.0,100.0,80.0
2013-01-11,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,9.4,3.0,6.2,2.4,28.0,2.8,8.1,,,,82.0,100.0,64.0
2013-01-12,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,6.9,0.5,3.7,8.8,24.0,4.2,14.7,,,,96.0,99.0,86.0
2013-01-13,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,1.7,-0.3,0.7,4.6,36.0,6.9,15.0,,,,96.0,100.0,92.0
2013-01-14,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,4.4,-0.4,2.0,0.0,28.0,5.6,12.2,,,,87.0,98.0,78.0
2013-01-15,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,5.4,0.3,2.8,2.0,26.0,6.4,16.1,,,,86.0,96.0,75.0
2013-01-16,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,7.0,0.8,3.9,12.6,24.0,5.6,13.3,,,,99.0,100.0,92.0
2013-01-17,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,8.3,3.6,6.0,7.2,28.0,6.1,12.5,,,,91.0,100.0,79.0
2013-01-18,2135A,FRESNO DE CANTESPINO,40,SEGOVIA,412222N,033026W,993.0,9.9,6.6,8.2,13.2,24.0,7.5,14.7,,,,93.0,100.0,80.0
