date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,7.8,2.4,5.1,0.0,29.0,2.2,7.2,,,,98.0,100.0,88.0
2013-01-02,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.2,-0.7,4.2,0.0,36.0,1.9,7.5,,,,83.0,100.0,69.0
2013-01-03,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.9,0.0,5.4,0.0,5.0,1.4,8.9,,,,59.0,91.0,41.0
2013-01-04,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.9,-2.8,4.0,0.0,10.0,1.1,2.8,,,,70.0,89.0,48.0
2013-01-05,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,11.8,-1.9,5.0,0.0,29.0,1.1,5.0,,,,73.0,93.0,50.0
2013-01-06,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.9,-3.2,3.8,0.0,28.0,1.4,5.0,,,,82.0,100.0,62.0
2013-01-07,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,5.2,-2.8,1.2,0.0,28.0,1.7,5.6,,,,96.0,100.0,90.0
2013-01-08,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,3.8,1.6,2.7,0.0,99.0,0.8,3.9,,,,90.0,95.0,87.0
2013-01-09,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,5.8,0.4,3.1,0.2,25.0,0.6,4.2,,,,94.0,100.0,89.0
2013-01-10,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,11.5,5.7,8.6,0.2,28.0,1.7,7.5,,,,99.0,100.0,80.0
2013-01-11,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.9,3.3,6.1,0.4,30.0,0.6,4.4,,,,92.0,100.0,79.0
2013-01-12,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.5,1.8,6.2,2.2,26.0,3.9,12.5,,,,91.0,100.0,68.0
2013-01-13,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,6.7,1.9,4.3,0.6,36.0,4.7,14.4,,,,85.0,100.0,68.0
2013-01-14,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.3,-0.9,3.7,0.0,30.0,2.8,12.2,,,,74.0,94.0,59.0
2013-01-15,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,7.8,-0.2,3.8,0.0,29.0,2.8,11.7,,,,75.0,92.0,60.0
2013-01-16,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,7.9,3.9,5.9,2.0,25.0,6.9,15.6,,,,95.0,100.0,83.0
2013-01-17,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.0,2.2,6.1,0.0,26.0,2.5,10.3,,,,91.0,100.0,79.0
2013-01-18,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,13.0,8.6,10.8,3.2,28.0,7.8,16.9,,,,90.0,100.0,76.0
2013-01-19,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.9,4.5,7.2,11.2,27.0,8.3,18.9,,,,94.0,100.0,78.0
2013-01-20,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,6.8,1.9,4.4,1.0,30.0,4.7,15.8,,,,81.0,99.0,70.0
2013-01-21,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.0,0.4,4.2,0.0,28.0,5.0,12.8,,,,76.0,100.0,48.0
2013-01-22,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,4.3,-0.5,1.9,7.6,28.0,4.2,20.3,,,,96.0,100.0,87.0
2013-01-23,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,6.9,-0.1,3.4,0.6,27.0,6.1,14.7,,,,81.0,100.0,60.0
2013-01-24,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.7,3.2,7.0,0.0,28.0,5.6,18.1,,,,74.0,100.0,52.0
2013-01-25,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.3,1.5,5.4,0.2,26.0,1.4,11.7,,,,83.0,100.0,70.0
2013-01-26,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,15.6,4.4,10.0,0.0,26.0,3.6,12.2,,,,67.0,100.0,37.0
2013-01-27,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.2,1.6,5.4,2.8,31.0,2.2,13.9,,,,97.0,100.0,76.0
2013-01-28,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.9,0.8,5.4,0.0,30.0,2.2,10.6,,,,81.0,97.0,56.0
2013-01-29,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,11.7,-1.2,5.2,0.0,22.0,1.7,4.2,,,,78.0,100.0,57.0
2013-01-30,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,14.3,0.0,7.2,0.0,29.0,1.1,4.4,,,,75.0,97.0,58.0
2013-01-31,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,15.3,1.0,8.2,0.0,24.0,1.4,5.8,,,,82.0,100.0,58.0
2013-02-01,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,12.7,0.9,6.8,1.2,29.0,2.5,11.9,,,,91.0,100.0,74.0
2013-02-02,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.4,1.9,5.6,0.0,28.0,5.3,16.9,,,,67.0,97.0,50.0
2013-02-03,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.5,0.4,4.4,0.0,36.0,4.7,10.8,,,,56.0,84.0,44.0
2013-02-04,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,12.6,-1.3,5.6,0.0,29.0,0.8,5.0,,,,69.0,87.0,52.0
2013-02-05,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,13.8,-0.1,6.8,0.0,29.0,1.9,7.2,,,,74.0,95.0,58.0
2013-02-06,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.7,1.9,5.8,0.0,31.0,5.3,15.0,,,,61.0,96.0,42.0
2013-02-07,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.5,-1.0,3.8,0.0,32.0,2.5,8.6,,,,54.0,76.0,43.0
2013-02-08,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.9,-0.3,4.3,0.0,29.0,5.3,11.7,,,,59.0,75.0,47.0
2013-02-09,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.3,-1.4,4.0,0.0,36.0,1.4,10.0,,,,65.0,86.0,46.0
2013-02-10,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,11.0,-1.8,4.6,3.0,25.0,5.3,14.2,,,,76.0,97.0,39.0
2013-02-11,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,6.9,-0.3,3.3,0.4,30.0,5.8,14.7,,,,70.0,98.0,50.0
2013-02-12,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,9.6,-1.7,4.0,0.0,31.0,3.1,10.0,,,,64.0,90.0,42.0
2013-02-13,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,13.9,0.8,7.4,0.0,28.0,3.1,10.0,,,,74.0,95.0,58.0
2013-02-14,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,14.5,0.5,7.5,0.0,30.0,1.4,5.6,,,,72.0,96.0,51.0
2013-02-15,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,14.6,0.1,7.4,0.0,27.0,0.6,4.2,,,,68.0,94.0,49.0
2013-02-16,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,13.1,1.2,7.2,0.0,14.0,1.7,6.1,,,,75.0,91.0,56.0
2013-02-17,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,11.2,1.5,6.4,1.2,28.0,1.4,5.8,,,,82.0,99.0,72.0
2013-02-18,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,12.9,4.1,8.5,0.4,10.0,1.9,5.8,,,,83.0,100.0,63.0
2013-02-19,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,11.2,6.2,8.7,0.6,12.0,6.9,12.8,,,,89.0,96.0,78.0
2013-02-20,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,12.6,5.8,9.2,0.0,26.0,1.9,8.1,,,,84.0,97.0,66.0
2013-02-21,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.2,4.8,7.5,3.6,26.0,3.3,7.5,,,,93.0,100.0,86.0
2013-02-22,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,10.3,4.4,7.4,7.8,28.0,6.4,16.4,,,,87.0,100.0,73.0
2013-02-23,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,5.1,-0.9,2.1,0.0,3.0,6.4,13.3,,,,71.0,99.0,51.0
2013-02-24,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,7.5,-3.2,2.2,0.0,31.0,3.6,11.4,,,,62.0,89.0,43.0
2013-02-25,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,7.0,-1.8,2.6,0.0,1.0,3.1,8.9,,,,56.0,79.0,42.0
2013-02-26,3099Y,OCAÑA,45,TOLEDO,395607N,032946W,733.0,8.2,-2.0,3.1,0.0,30.0,1.9,7.8,,,,58.0,80.0,45.0
