date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,10.5,1.4,6.0,0.0,,,,,,,88.0,100.0,74.0
2013-01-02,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,8.4,-1.1,3.6,0.0,,,,,,,87.0,100.0,74.0
2013-01-03,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,11.9,-1.3,5.3,0.0,,,,,,,79.0,99.0,56.0
2013-01-04,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,13.3,-3.5,4.9,0.0,,,,,,,82.0,100.0,48.0
2013-01-05,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,12.4,-3.2,4.6,0.0,,,,,,,90.0,100.0,68.0
2013-01-06,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,2.8,-0.6,1.1,0.0,,,,,,,100.0,100.0,100.0
2013-01-07,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,3.5,-1.4,1.0,0.2,,,,,,,100.0,100.0,100.0
2013-01-08,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,3.9,-1.4,1.2,0.2,,,,,,,98.0,,
2013-01-09,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,7.2,1.5,4.4,3.8,,,,,,,99.0,100.0,94.0
2013-01-10,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,10.5,6.2,8.4,0.0,,,,,,,100.0,100.0,89.0
2013-01-11,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,10.7,2.6,6.6,0.6,,,,,,,98.0,100.0,81.0
2013-01-12,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,8.7,1.8,5.2,4.2,,,,,,,92.0,100.0,82.0
2013-01-13,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,5.5,-1.3,2.1,0.4,,,,,,,94.0,100.0,80.0
2013-01-14,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,7.7,-2.3,2.7,0.0,,,,,,,87.0,100.0,75.0
2013-01-15,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,7.1,0.0,3.6,1.8,,,,,,,89.0,100.0,77.0
2013-01-16,2166Y,PEÑAFIEL,47,VALLADOLID,413535N,040729W,756.0,8.9,3.8,6.4,1.4,,,,,,,100.0,100.0,84.0
