date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,16.2,10.2,13.2,7.1,19.0,4.4,13.6,,,,76.0,95.0,63.0
2013-01-02,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,14.5,9.4,12.0,1.5,34.0,3.9,13.6,,,,80.0,97.0,64.0
2013-01-03,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.5,5.1,8.3,0.0,17.0,3.1,7.2,,1034.6,1030.0,74.0,88.0,60.0
2013-01-04,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.0,4.5,7.8,0.0,99.0,1.7,5.0,,1033.6,1031.3,87.0,96.0,76.0
2013-01-05,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,8.5,6.1,7.3,0.0,18.0,1.7,5.0,,1031.3,1029.2,97.0,97.0,94.0
2013-01-06,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.8,7.4,9.6,0.0,4.0,1.9,5.0,,1029.3,1023.7,93.0,96.0,80.0
2013-01-07,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,9.2,5.5,7.4,0.0,32.0,1.7,5.8,,1023.7,1021.3,91.0,95.0,84.0
2013-01-08,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,12.5,3.5,8.0,0.0,19.0,1.7,4.2,,1024.2,1020.7,86.0,97.0,65.0
2013-01-09,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,10.7,3.8,7.2,1.3,19.0,1.9,5.3,,1020.7,1016.2,78.0,95.0,65.0
2013-01-10,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,14.3,8.9,11.6,0.6,30.0,3.6,18.1,,1020.9,1016.4,74.0,96.0,61.0
2013-01-11,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.6,5.1,8.4,0.1,23.0,3.1,10.0,,1021.0,1011.6,85.0,94.0,49.0
2013-01-12,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.9,4.4,8.2,16.8,32.0,5.6,16.9,,1011.9,1006.5,83.0,97.0,47.0
2013-01-13,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,9.5,4.5,7.0,5.6,32.0,2.5,19.4,,1015.2,1006.1,92.0,97.0,71.0
2013-01-14,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,9.8,5.4,7.6,16.8,31.0,9.7,28.9,,1017.2,1008.1,86.0,98.0,65.0
2013-01-15,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,,,,5.0,30.0,10.3,30.0,,,,97.0,,
2013-01-16,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,12.1,6.7,9.4,8.7,32.0,12.2,24.4,,1009.4,997.8,91.0,98.0,73.0
2013-01-17,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,7.2,4.0,5.6,12.9,9.0,1.7,7.2,,1011.2,1003.3,82.0,98.0,66.0
2013-01-18,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,13.3,5.7,9.5,12.8,32.0,6.4,20.8,,1003.3,985.6,94.0,99.0,83.0
2013-01-19,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,,,,,32.0,3.3,25.6,,,,,,
2013-01-31,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,15.7,10.2,13.0,0.1,22.0,1.7,7.2,,1024.7,1019.4,83.0,96.0,66.0
2013-02-01,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,17.1,8.4,12.8,4.7,32.0,3.3,29.4,,1019.4,1001.6,60.0,98.0,49.0
2013-02-03,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,4.0,0.8,2.4,0.0,29.0,6.7,17.8,,,,62.0,90.0,53.0
2013-02-04,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,7.2,-1.0,3.1,5.8,33.0,10.6,16.4,,,,65.0,84.0,58.0
2013-02-08,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,9.5,5.1,7.3,0.7,32.0,14.7,26.7,,1020.5,1008.8,92.0,99.0,70.0
2013-02-09,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,9.6,4.0,6.8,1.1,31.0,8.9,20.8,,1020.8,1016.6,93.0,98.0,87.0
2013-02-10,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,12.7,4.3,8.5,7.2,33.0,4.2,26.4,,1016.8,996.7,76.0,98.0,59.0
2013-02-13,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.7,7.5,9.6,6.7,31.0,5.0,20.0,,1019.3,1014.3,98.0,99.0,73.0
2013-02-14,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,12.7,10.1,11.4,0.9,31.0,3.1,15.8,,1019.5,1017.6,79.0,98.0,58.0
2013-02-15,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,12.7,6.4,9.6,0.0,27.0,1.1,8.6,,1019.0,1016.8,86.0,97.0,75.0
2013-02-16,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,11.8,3.8,7.8,0.0,99.0,2.8,4.7,,1016.9,1010.1,84.0,97.0,72.0
2013-02-17,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,16.4,4.0,10.2,0.6,22.0,2.5,8.6,,1010.1,1003.6,67.0,98.0,44.0
2013-02-23,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,4.5,0.8,2.6,1.3,34.0,8.1,20.3,,1015.1,1001.9,68.0,98.0,58.0
2013-02-24,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,4.4,1.1,2.8,5.1,32.0,2.2,16.1,,1018.0,1013.4,86.0,98.0,77.0
2013-02-25,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,6.1,2.0,4.0,6.6,33.0,7.5,19.4,,1019.4,1015.8,90.0,98.0,71.0
2013-02-26,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,5.2,1.9,3.6,5.2,9.0,2.8,10.3,,1019.8,1013.4,98.0,98.0,91.0
2013-02-27,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,7.7,-0.1,3.8,0.1,8.0,1.7,7.8,,1018.6,1013.3,89.0,98.0,69.0
2013-02-28,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,9.4,2.1,5.8,0.0,32.0,1.7,8.6,,1016.1,1012.2,81.0,98.0,68.0
2013-03-01,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,10.9,5.0,8.0,0.0,33.0,2.8,7.8,,1016.2,1011.7,91.0,97.0,75.0
2013-03-02,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,8.4,3.6,6.0,0.0,99.0,1.7,5.8,,1016.4,1012.2,86.0,96.0,77.0
2013-03-03,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,13.0,1.4,7.2,0.0,17.0,2.8,10.3,,1012.2,1002.7,81.0,98.0,49.0
2013-03-04,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,15.2,10.7,13.0,0.0,15.0,10.0,23.1,,1002.7,992.0,49.0,56.0,37.0
2013-03-05,1055B,LEKEITIO,48,BIZKAIA,432237N,023037W,12.0,17.9,13.4,15.6,0.0,15.0,8.1,19.7,,992.0,987.7,61.0,74.0,51.0
