date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-02-05,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,,,,0.2,,,,,,,,,
2013-02-06,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,4.0,0.8,2.4,18.4,32.0,4.2,14.4,,,,85.0,94.0,72.0
2013-02-07,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,3.3,-0.6,1.4,2.7,35.0,5.0,12.8,,,,81.0,95.0,61.0
2013-02-08,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,4.0,0.9,2.4,2.4,14.0,3.1,16.1,,,,86.0,89.0,65.0
2013-02-09,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,6.2,0.6,3.4,1.1,34.0,4.4,10.6,,,,68.0,86.0,56.0
2013-02-10,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,8.1,1.2,4.6,7.2,20.0,2.5,10.3,,,,73.0,91.0,55.0
2013-02-11,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,5.5,0.3,2.9,6.3,30.0,2.5,10.3,,,,71.0,89.0,52.0
2013-02-12,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,4.7,1.5,3.1,0.1,25.0,5.3,13.6,,,,80.0,89.0,76.0
2013-02-13,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,9.1,3.4,6.2,0.0,33.0,5.3,12.2,,,,72.0,91.0,64.0
2013-02-14,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,10.8,7.7,9.2,0.0,33.0,3.9,10.3,,,,73.0,91.0,64.0
2013-02-15,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,10.6,2.4,6.5,0.0,33.0,3.6,12.2,,,,60.0,86.0,48.0
2013-02-16,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,11.1,-1.5,4.8,0.0,22.0,1.4,3.6,,,,69.0,92.0,50.0
2013-02-17,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,11.1,-0.2,5.4,0.1,20.0,1.1,4.2,,,,77.0,93.0,60.0
2013-02-18,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,12.0,5.5,8.8,0.1,10.0,0.8,5.8,,,,75.0,92.0,59.0
2013-02-19,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,11.7,7.7,9.7,0.0,13.0,3.6,10.8,,,,65.0,79.0,54.0
2013-02-20,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,14.5,4.5,9.5,0.0,33.0,0.6,6.1,,,,64.0,87.0,45.0
2013-02-21,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,12.7,3.8,8.2,0.0,29.0,1.7,6.9,,,,66.0,84.0,52.0
2013-02-22,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,8.3,0.3,4.3,0.0,33.0,2.8,13.3,,,,45.0,82.0,33.0
2013-02-23,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,0.3,-4.9,-2.3,0.0,33.0,5.3,19.7,,,,57.0,80.0,47.0
2013-02-24,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,2.7,-1.8,0.4,0.0,31.0,4.4,15.0,,,,61.0,89.0,48.0
2013-02-25,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,3.9,-1.8,1.0,0.0,32.0,4.7,13.6,,,,61.0,84.0,48.0
2013-02-26,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,4.0,-2.3,0.8,0.0,34.0,0.8,11.1,,,,70.0,85.0,65.0
2013-02-27,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,10.1,-4.3,2.9,0.0,4.0,1.1,5.3,,,,55.0,85.0,37.0
2013-02-28,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,10.1,-0.1,5.0,0.0,34.0,1.4,6.9,,,,56.0,82.0,39.0
2013-03-01,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,12.5,1.9,7.2,0.0,32.0,1.9,11.1,,,,50.0,75.0,33.0
2013-03-02,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,14.1,1.7,7.9,0.0,20.0,1.7,6.9,,,,50.0,72.0,36.0
2013-03-03,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,15.1,0.4,7.8,0.0,17.0,3.3,11.9,,,,52.0,85.0,30.0
2013-03-04,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,12.1,5.3,8.7,3.5,12.0,5.6,20.3,,,,56.0,66.0,42.0
2013-03-05,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,11.5,9.5,10.5,0.7,13.0,5.3,18.1,,,,81.0,86.0,64.0
2013-03-06,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,18.4,7.9,13.2,0.6,18.0,1.4,7.2,,,,70.0,91.0,46.0
2013-03-07,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,16.3,9.4,12.8,2.5,17.0,5.8,16.1,,,,69.0,83.0,56.0
2013-03-08,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,17.1,6.6,11.8,3.9,18.0,2.8,9.7,,,,61.0,90.0,46.0
2013-03-09,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,15.8,5.0,10.4,0.1,19.0,1.9,9.2,,,,65.0,93.0,41.0
2013-03-10,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,15.0,4.6,9.8,0.1,18.0,2.5,8.1,,,,58.0,78.0,43.0
2013-03-11,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,13.1,3.9,8.5,4.5,20.0,1.7,8.3,,,,70.0,87.0,48.0
2013-03-12,9244X,SOS DEL REY CATÓLICO,50,ZARAGOZA,422927N,011248W,626.0,10.7,0.8,5.8,1.5,31.0,0.8,10.8,,,,70.0,93.0,56.0
