date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,18.3,11.3,14.8,0.0,24.0,1.9,11.1,,1013.5,1010.0,69.0,83.0,59.0
2013-01-02,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,16.1,10.1,13.1,0.0,29.0,1.1,8.1,,1015.8,1012.2,61.0,69.0,50.0
2013-01-03,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,16.0,12.4,14.2,0.0,10.0,5.0,16.4,,1025.9,1015.7,61.0,73.0,54.0
2013-01-04,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,16.3,12.8,14.6,0.0,12.0,5.6,13.9,,1026.5,1024.5,66.0,73.0,59.0
2013-01-05,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,18.8,12.1,15.4,0.0,31.0,1.1,9.7,,1025.3,1020.8,70.0,80.0,49.0
2013-01-06,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,18.6,13.8,16.2,0.0,31.0,1.9,10.6,,1020.9,1017.8,59.0,65.0,51.0
2013-01-07,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,18.1,12.7,15.4,0.0,30.0,2.5,11.7,,1018.6,1016.1,54.0,63.0,45.0
2013-01-08,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,19.4,11.8,15.6,0.0,30.0,1.4,6.1,,1019.8,1017.4,63.0,79.0,47.0
2013-01-09,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,17.7,11.9,14.8,0.0,29.0,3.3,10.3,6.3,1018.4,1016.2,51.0,63.0,45.0
2013-01-10,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,20.6,13.1,16.8,0.0,32.0,1.1,6.9,6.4,1017.0,1013.1,53.0,62.0,44.0
2013-01-11,5000C,CEUTA,51,CEUTA,355319N,052049W,87.0,19.9,13.7,16.8,0.0,31.0,3.1,10.3,,1014.1,1011.8,55.0,72.0,43.0
