date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.0,11.0,14.0,3.8,27.0,1.9,8.3,0.8,1016.7,1014.7,70.0,,
2013-01-02,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,16.2,12.2,14.2,5.4,25.0,5.0,10.3,2.8,1019.5,1015.5,74.0,,
2013-01-03,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.0,10.8,12.9,7.0,7.0,3.9,11.4,7.7,1029.4,1019.5,70.0,,
2013-01-04,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.6,11.2,13.4,0.0,14.0,1.4,8.3,6.1,1031.0,1029.1,75.0,,
2013-01-05,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.2,8.4,13.3,0.0,25.0,1.7,7.8,8.1,1029.2,1024.3,67.0,,
2013-01-06,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.2,14.4,16.3,0.0,26.0,5.8,15.0,9.3,1024.4,1020.8,60.0,,
2013-01-07,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.6,10.0,14.3,0.0,26.0,2.8,9.7,8.3,1021.8,1019.4,66.0,,
2013-01-08,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,19.0,11.4,15.2,0.0,23.0,2.2,8.9,9.5,1023.4,1020.7,59.0,,
2013-01-09,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.8,11.2,14.5,0.0,26.0,3.1,10.3,7.4,1021.5,1019.6,66.0,,
2013-01-10,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,20.0,11.6,15.8,0.0,24.0,1.1,6.7,8.1,1020.0,1016.6,61.0,,
2013-01-11,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,19.2,10.0,14.6,0.0,26.0,1.9,7.8,8.5,1017.2,1015.7,70.0,,
2013-01-12,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.4,13.6,16.0,0.0,25.0,3.6,11.4,8.1,1017.1,1014.7,68.0,,
2013-01-13,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,16.2,10.0,13.1,7.7,28.0,6.4,19.7,3.9,1014.7,1010.7,59.0,,
2013-01-14,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.0,11.0,13.0,0.0,30.0,6.9,19.2,8.6,1015.9,1011.4,51.0,,
2013-01-15,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.4,12.2,13.8,0.0,30.0,7.5,17.5,5.9,1017.0,1014.5,61.0,,
2013-01-16,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.2,13.2,14.2,0.1,28.0,7.5,20.0,0.1,1016.8,1012.5,64.0,,
2013-01-17,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.0,14.0,16.0,0.0,26.0,9.2,21.1,7.4,1012.5,1009.8,75.0,,
2013-01-18,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,19.4,15.2,17.3,0.0,27.0,6.7,16.4,7.3,1011.3,1004.2,76.0,,
2013-01-19,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,20.2,11.8,16.0,12.8,25.0,9.2,27.2,1.7,1009.5,989.7,61.0,,
2013-01-20,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.2,12.6,13.9,0.3,26.0,9.7,27.2,7.5,1006.6,993.4,62.0,,
2013-01-21,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.6,11.0,13.3,0.1,26.0,7.5,19.2,4.6,1011.1,1003.4,63.0,,
2013-01-22,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.2,10.6,13.9,1.8,26.0,3.3,19.2,8.1,1012.5,1008.1,55.0,,
2013-01-23,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,14.4,10.8,12.6,0.0,30.0,11.1,22.8,8.5,1015.4,1009.7,50.0,,
2013-01-24,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,19.2,12.8,16.0,0.5,26.0,7.5,20.0,2.4,1015.0,1009.4,62.0,,
2013-01-25,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,16.2,14.0,15.1,10.8,25.0,5.8,18.1,0.0,1011.9,1009.4,86.0,,
2013-01-26,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.0,15.0,16.5,0.0,26.0,9.4,21.1,5.2,1014.9,1010.6,83.0,,
2013-01-27,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.6,14.2,15.9,0.0,25.0,4.2,16.9,8.2,1016.1,1014.3,79.0,,
2013-01-28,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.0,11.6,14.8,0.0,25.0,4.7,18.1,7.2,1023.0,1015.9,73.0,,
2013-01-29,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.6,8.6,13.1,0.0,29.0,1.7,7.8,8.8,1022.0,1021.0,73.0,,
2013-01-30,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,20.4,8.6,14.5,0.0,25.0,0.8,6.7,10.3,1023.8,1021.5,60.0,,
2013-01-31,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,22.2,12.6,17.4,0.0,3.0,0.3,6.7,9.4,1025.2,1022.7,54.0,,
2013-02-01,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,22.6,11.4,17.0,0.0,25.0,2.5,16.9,10.1,1023.0,1014.7,57.0,,
2013-02-02,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.8,13.0,15.9,0.0,27.0,8.6,22.8,7.7,1015.4,1010.9,66.0,,
2013-02-03,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,16.2,8.6,12.4,0.0,25.0,2.8,11.4,7.2,1021.2,1015.4,44.0,,
2013-02-04,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.2,6.6,10.9,0.0,16.0,2.2,9.2,10.5,1024.4,1021.2,41.0,,
2013-02-05,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.4,6.0,11.7,0.0,20.0,0.8,11.4,10.5,1021.4,1016.2,49.0,,
2013-02-06,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,17.0,13.4,15.2,0.0,26.0,8.6,20.0,10.5,1016.2,1011.0,65.0,,
2013-02-07,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,15.0,7.8,11.4,0.0,26.0,5.6,18.1,10.5,1017.9,1013.7,50.0,,
2013-02-08,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,16.0,6.0,11.0,0.0,25.0,3.9,11.9,10.4,1016.7,1010.3,60.0,,
2013-02-09,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,14.8,7.2,11.0,0.0,27.0,1.7,13.9,7.1,1019.1,1011.4,54.0,,
2013-02-10,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,18.4,7.2,12.8,0.0,25.0,1.7,11.4,10.4,1019.2,1012.1,56.0,,
2013-02-11,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,14.8,11.6,13.2,2.8,29.0,8.1,22.8,0.0,1012.1,1008.3,58.0,,
2013-02-12,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,13.0,10.4,11.7,1.8,26.0,8.3,24.2,1.8,1014.9,1009.9,67.0,,
2013-02-13,6000A,MELILLA,52,MELILLA,351635N,025723W,52.0,16.6,11.0,13.8,0.0,25.0,6.7,15.6,10.4,1016.3,1014.1,65.0,,
