station_id,station_name,province_code,province_name,latitude,longitude,altitude
B013X,"ESCORCA, LLUC",07,Islas Baleares,394924N,025309E,490
B051A,"SÓLLER, PUERTO",07,Islas Baleares,394744N,024129E,5
B087X,BANYALBUFAR,07,Islas Baleares,394121N,023046E,60
B103B,ANDRATX - SANT ELM,07,Islas Baleares,393446N,022208E,52
B158X,"CALVIÀ, ES CAPDELLÀ",07,Islas Baleares,393305N,022759E,50
B228,"PALMA, PUERTO",07,Islas Baleares,393315N,023731E,3
B236C,"PALMA, UNIVERSITAT",07,Islas Baleares,393832N,023838E,95
B248,"SIERRA DE ALFABIA, BUNYOLA",07,Islas Baleares,394406N,024247E,1030
B275E,"SON BONET, AEROPUERTO",07,Islas Baleares,393621N,024224E,47
B278,"PALMA DE MALLORCA, AEROPUERTO",07,Islas Baleares,393339N,024412E,5
B301,"LLUCMAJOR, CAP BLANC",07,Islas Baleares,392247N,024706E,113
B334X,LLUCMAJOR,07,Islas Baleares,392944N,025330E,140
B341X,PORRERES,07,Islas Baleares,393022N,030020E,149
B346X,PORRERES,07,Islas Baleares,393118N,030109E,120
B362X,"CAMPOS, CAN SION",07,Islas Baleares,392421N,030351E,40
B373X,"CAMPOS, SALINES LLEVANT",07,Islas Baleares,392104N,030043E,3
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",07,Islas Baleares,390808N,025612E,165
B410B,SANTANYÍ,07,Islas Baleares,392024N,030845E,45
B434X,PORTOCOLOM  ,07,Islas Baleares,392452N,031618E,17
B496X,SON SERVERA,07,Islas Baleares,393749N,032301E,25
B526X,ARTÀ,07,Islas Baleares,394119N,032104E,110
B569X,CAPDEPERA,07,Islas Baleares,394300N,032841E,57
B603X,ARTÀ-COLÒNIA DE SANT PERE,07,Islas Baleares,394323N,031643E,99
B605X,"MURO, S'ALBUFERA",07,Islas Baleares,394748N,030617E,2
B614E,MANACOR,07,Islas Baleares,393325N,031304E,100
B640X,PETRA,07,Islas Baleares,393659N,030716E,95
B644B,SINEU,07,Islas Baleares,393836N,030008E,120
B656A,SANTA MARÍA DEL CAMÍ,07,Islas Baleares,393909N,024801E,121
B662X,BINISSALEM,07,Islas Baleares,394041N,025226E,105
B684A,"ESCORCA, SON TORRELLA",07,Islas Baleares,394734N,024716E,842
B691,LA PUEBLA (SA CANOVA),07,Islas Baleares,394454N,030055E,40
B691Y,SA POBLA,07,Islas Baleares,394457N,030100E,32
B760X,POLLENÇA,07,Islas Baleares,395237N,030127E,45
B780X,PORT DE POLLENÇA,07,Islas Baleares,395434N,030601E,2
