date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,7.2,5.1,6.2,21.8,,,,,,,99.0,100.0,85.0
2013-01-02,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,6.6,5.2,5.9,3.6,,,,,,,91.0,97.0,81.0
2013-01-03,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.4,3.2,6.8,0.0,,,,,,,76.0,98.0,51.0
2013-01-04,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,15.3,3.9,9.6,0.0,,,,,,,75.0,97.0,59.0
2013-01-05,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,15.0,2.5,8.8,0.0,,,,,,,81.0,100.0,60.0
2013-01-06,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,9.4,2.4,5.9,0.0,,,,,,,99.0,100.0,84.0
2013-01-07,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,11.0,1.4,6.2,0.0,,,,,,,93.0,100.0,77.0
2013-01-08,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.9,1.1,6.0,0.0,,,,,,,83.0,100.0,67.0
2013-01-09,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,7.1,-0.5,3.3,5.6,,,,,,,92.0,100.0,79.0
2013-01-10,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.3,4.5,7.4,3.2,,,,,,,92.0,100.0,78.0
2013-01-11,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,9.4,1.5,5.4,0.0,,,,,,,77.0,100.0,57.0
2013-01-12,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.6,2.1,6.4,4.4,,,,,,,84.0,100.0,63.0
2013-01-13,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,4.1,0.5,2.3,30.0,,,,,,,95.0,100.0,88.0
2013-01-14,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,4.0,0.6,2.3,88.0,,,,,,,97.0,100.0,91.0
2013-01-15,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,5.5,3.4,4.4,62.2,,,,,,,98.0,100.0,95.0
2013-01-16,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,7.9,3.7,5.8,61.2,,,,,,,100.0,100.0,97.0
2013-01-17,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,7.6,0.7,4.2,33.2,,,,,,,100.0,100.0,97.0
2013-01-18,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,11.6,4.9,8.2,25.6,,,,,,,98.0,100.0,90.0
2013-01-19,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.5,3.1,6.8,44.2,,,,,,,89.0,100.0,64.0
2013-01-20,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,5.4,2.0,3.7,12.6,,,,,,,91.0,100.0,79.0
2013-01-21,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,3.9,0.2,2.0,1.6,,,,,,,96.0,100.0,70.0
2013-01-22,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,5.1,-0.2,2.4,8.6,,,,,,,77.0,95.0,66.0
2013-01-23,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,3.4,0.0,1.7,38.4,,,,,,,91.0,100.0,79.0
2013-01-24,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,5.4,1.8,3.6,17.2,,,,,,,90.0,100.0,80.0
2013-01-25,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,7.7,-0.1,3.8,27.0,,,,,,,89.0,100.0,75.0
2013-01-26,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.9,3.3,7.1,1.6,,,,,,,87.0,100.0,67.0
2013-01-27,1044X,"ARAMAIO, ETXAGUEN",01,ARABA/ALAVA,430328N,023523W,617.0,10.4,3.4,6.9,16.2,,,,,,,79.0,98.0,49.0
