date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,6.5,2.5,4.5,0.0,24.0,3.9,11.1,,,,79.0,90.0,67.0
2013-01-02,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,7.2,2.6,4.9,0.0,11.0,2.5,7.8,,,,77.0,91.0,64.0
2013-01-03,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,10.3,0.8,5.6,0.0,7.0,0.8,7.2,,,,68.0,94.0,44.0
2013-01-04,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,13.1,0.6,6.8,0.0,15.0,1.9,4.4,,,,39.0,62.0,31.0
2013-01-05,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,15.1,1.9,8.5,0.0,20.0,1.1,4.7,,,,39.0,69.0,32.0
2013-01-06,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,18.2,-0.9,8.6,0.0,18.0,0.6,3.6,,,,44.0,76.0,21.0
2013-01-07,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,12.1,-0.4,5.8,0.0,99.0,0.3,2.8,,,,55.0,88.0,34.0
2013-01-08,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,5.4,-1.3,2.0,0.0,27.0,1.1,4.2,,,,86.0,96.0,71.0
2013-01-09,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,9.6,0.5,5.0,0.2,25.0,3.6,13.3,,,,83.0,95.0,68.0
2013-01-10,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,10.2,4.1,7.2,0.0,26.0,5.0,15.3,,,,73.0,94.0,61.0
2013-01-11,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,9.8,2.1,6.0,0.2,26.0,3.1,10.6,,,,73.0,92.0,53.0
2013-01-12,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,7.2,0.6,3.9,5.6,26.0,4.7,15.3,,,,83.0,94.0,68.0
2013-01-13,2430Y,MUÑOTELLO,05,AVILA,403236N,050239W,1178.0,2.8,-0.8,1.0,1.8,27.0,7.2,16.9,,,,82.0,93.0,78.0
