date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,7.1,2.5,4.8,0.0,26.0,3.1,9.2,,,,89.0,100.0,80.0
2013-01-02,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.2,2.1,4.2,0.0,36.0,4.4,14.4,,,,86.0,94.0,70.0
2013-01-03,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,11.3,-0.8,5.2,0.0,2.0,0.8,8.6,,,,62.0,95.0,37.0
2013-01-04,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,11.4,-1.5,5.0,0.0,26.0,1.4,5.0,,,,59.0,91.0,41.0
2013-01-05,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,9.5,-2.1,3.7,0.0,29.0,1.1,4.4,,,,88.0,98.0,72.0
2013-01-06,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,3.6,-2.8,0.4,0.2,28.0,0.8,3.1,,,,99.0,100.0,97.0
2013-01-07,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.6,-3.6,1.5,0.2,23.0,0.6,3.9,,,,99.0,100.0,83.0
2013-01-08,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,2.2,-3.7,-0.8,0.2,32.0,1.4,5.0,,,,94.0,100.0,90.0
2013-01-09,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,5.3,0.0,2.6,3.2,27.0,0.8,6.4,,,,98.0,100.0,89.0
2013-01-10,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,8.9,3.0,6.0,0.2,28.0,2.5,7.8,,,,96.0,100.0,89.0
2013-01-11,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,7.9,-1.3,3.3,2.4,28.0,1.7,5.0,,,,93.0,100.0,84.0
2013-01-12,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.7,0.2,3.4,6.6,24.0,3.1,11.4,,,,95.0,100.0,85.0
2013-01-13,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,1.9,-0.9,0.5,3.6,31.0,3.3,11.4,,,,96.0,100.0,85.0
2013-01-14,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.6,-1.0,1.8,0.0,27.0,4.2,11.7,,,,89.0,99.0,77.0
2013-01-15,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.8,-1.3,1.8,2.0,28.0,4.7,12.8,,,,88.0,99.0,80.0
2013-01-16,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,7.0,1.4,4.2,10.6,26.0,6.1,12.8,,,,98.0,99.0,91.0
2013-01-17,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,7.5,2.3,4.9,6.4,28.0,3.6,9.4,,,,92.0,100.0,82.0
2013-01-18,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,9.7,5.6,7.6,10.6,24.0,6.7,14.2,,,,96.0,100.0,82.0
2013-01-19,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,9.9,0.6,5.2,7.2,33.0,4.4,16.4,,,,87.0,98.0,63.0
2013-01-20,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.3,-0.6,1.8,3.6,28.0,3.3,13.9,,,,92.0,100.0,80.0
2013-01-21,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.5,-0.9,1.8,0.2,28.0,4.7,12.5,,,,78.0,98.0,62.0
2013-01-22,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,1.4,-1.9,-0.2,2.8,99.0,3.3,10.0,,,,97.0,100.0,77.0
2013-01-23,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,3.3,-3.4,0.0,3.2,26.0,3.9,10.0,,,,92.0,100.0,81.0
2013-01-24,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.6,0.2,3.4,0.0,99.0,6.4,16.4,,,,79.0,100.0,67.0
2013-01-25,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.7,-1.7,1.5,1.0,27.0,1.7,5.8,,,,91.0,100.0,78.0
2013-01-26,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,9.3,0.4,4.8,0.0,28.0,3.9,14.4,,,,72.0,100.0,52.0
2013-01-27,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,7.9,0.1,4.0,10.2,34.0,3.1,14.4,,,,95.0,99.0,73.0
2013-01-28,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,5.9,-2.0,2.0,0.0,26.0,1.7,7.2,,,,90.0,98.0,74.0
2013-01-29,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.8,-1.7,2.6,0.2,99.0,1.7,3.3,,,,92.0,100.0,81.0
2013-01-30,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,11.9,2.1,7.0,0.0,29.0,1.7,7.5,,,,86.0,100.0,74.0
2013-01-31,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,13.7,4.6,9.2,0.0,28.0,1.7,5.3,,,,84.0,99.0,67.0
2013-02-01,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,11.6,2.7,7.2,4.2,27.0,5.0,15.3,,,,81.0,100.0,65.0
2013-02-02,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.7,-0.2,3.2,0.4,31.0,6.1,16.9,,,,88.0,97.0,74.0
2013-02-03,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,5.0,-0.3,2.4,0.0,34.0,5.3,13.3,,,,71.0,92.0,60.0
2013-02-04,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,9.2,0.1,4.6,0.0,26.0,1.7,6.1,,,,75.0,93.0,66.0
2013-02-05,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,8.7,1.2,5.0,0.0,29.0,2.5,10.6,,,,84.0,98.0,70.0
2013-02-06,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,5.8,-0.6,2.6,0.0,32.0,6.4,14.2,,,,79.0,97.0,60.0
2013-02-07,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.0,-1.6,1.2,0.0,33.0,6.9,13.3,,,,78.0,94.0,66.0
2013-02-08,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,4.9,-1.1,1.9,0.6,36.0,7.8,21.7,,,,83.0,98.0,66.0
2013-02-09,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,6.0,-1.4,2.3,0.0,30.0,4.4,10.0,,,,80.0,97.0,61.0
2013-02-10,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,5.6,-3.0,1.3,5.6,25.0,3.3,18.3,,,,89.0,98.0,77.0
2013-02-11,2106B,CORUÑA DEL CONDE,09,BURGOS,414445N,032255W,955.0,3.5,-1.9,0.8,0.4,28.0,5.6,15.3,,,,79.0,98.0,61.0
