date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.3,9.3,11.8,0.2,20.0,2.5,9.2,,,,97.0,100.0,88.0
2013-01-02,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.1,7.1,11.1,0.0,2.0,2.5,7.5,,,,82.0,97.0,70.0
2013-01-03,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.5,6.5,12.0,0.0,12.0,3.3,11.4,,,,76.0,96.0,53.0
2013-01-04,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,18.7,6.1,12.4,0.0,12.0,2.8,9.7,,,,77.0,96.0,55.0
2013-01-05,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.8,4.7,11.2,0.0,5.0,1.4,5.8,,,,85.0,99.0,68.0
2013-01-06,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.6,6.4,11.5,0.0,3.0,1.1,3.1,,,,87.0,100.0,70.0
2013-01-07,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.6,4.5,10.6,0.2,99.0,0.8,4.2,,,,91.0,100.0,67.0
2013-01-08,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.0,7.3,11.6,0.0,3.0,1.9,6.4,,,,78.0,93.0,65.0
2013-01-09,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.2,6.2,11.2,0.0,6.0,1.4,5.3,,,,76.0,95.0,58.0
2013-01-10,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.4,6.9,12.2,0.0,30.0,1.7,5.6,,,,87.0,100.0,68.0
2013-01-11,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.1,8.1,12.6,0.2,27.0,1.1,4.7,,,,91.0,100.0,76.0
2013-01-12,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.4,6.4,11.9,4.4,22.0,1.9,6.4,,,,91.0,100.0,79.0
2013-01-13,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.7,9.5,12.1,0.0,26.0,4.7,12.5,,,,80.0,99.0,70.0
2013-01-14,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,13.5,7.3,10.4,0.0,30.0,3.1,9.2,,,,73.0,88.0,60.0
2013-01-15,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.5,8.0,11.2,0.0,29.0,4.7,11.1,,,,75.0,92.0,64.0
2013-01-16,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.0,12.0,13.5,0.0,25.0,5.0,12.8,,,,80.0,92.0,74.0
2013-01-17,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.8,14.5,15.6,0.0,25.0,4.2,10.6,,,,91.0,100.0,85.0
2013-01-18,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.6,13.9,15.8,10.0,20.0,4.7,11.1,,,,96.0,100.0,89.0
2013-01-19,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.1,11.8,14.0,3.0,25.0,11.4,21.9,,,,78.0,99.0,64.0
2013-01-20,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.8,11.6,13.2,10.8,28.0,5.0,17.2,,,,78.0,100.0,67.0
2013-01-21,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.2,10.7,12.4,0.8,28.0,4.4,13.1,,,,74.0,97.0,66.0
2013-01-22,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.0,6.8,10.9,2.4,24.0,4.7,14.7,,,,85.0,100.0,68.0
2013-01-23,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.1,10.0,12.0,1.4,29.0,4.7,15.3,,,,69.0,88.0,61.0
2013-01-24,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.5,11.8,13.2,13.2,25.0,3.1,11.7,,,,99.0,100.0,86.0
2013-01-25,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.3,12.4,14.4,2.2,26.0,3.6,11.1,,,,99.0,100.0,92.0
2013-01-26,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.6,11.5,14.0,0.0,31.0,2.8,8.9,,,,94.0,100.0,87.0
2013-01-27,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.2,9.3,12.2,0.4,24.0,2.2,9.7,,,,92.0,100.0,81.0
2013-01-28,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.8,7.7,11.8,0.0,31.0,1.7,9.2,,,,75.0,97.0,56.0
2013-01-29,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.7,5.7,11.7,0.0,4.0,1.4,5.8,,,,82.0,98.0,60.0
2013-01-30,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,18.8,4.3,11.6,0.0,2.0,1.1,3.3,,,,78.0,100.0,35.0
2013-01-31,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,18.2,4.8,11.5,0.0,36.0,1.1,3.9,,,,86.0,100.0,66.0
2013-02-01,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.8,6.6,11.2,0.0,23.0,1.9,6.4,,,,95.0,100.0,83.0
2013-02-02,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.9,9.6,12.8,0.0,31.0,5.6,12.5,,,,70.0,99.0,49.0
2013-02-03,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.6,6.1,10.8,0.0,1.0,3.9,12.5,,,,59.0,85.0,43.0
2013-02-04,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.4,5.0,11.2,0.0,3.0,2.8,9.2,,,,59.0,86.0,41.0
2013-02-05,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.3,3.4,9.8,0.0,26.0,1.9,6.7,,,,81.0,99.0,57.0
2013-02-06,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.9,7.7,11.8,0.0,29.0,6.1,13.1,,,,73.0,99.0,60.0
2013-02-07,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.8,7.3,11.0,0.0,99.0,2.2,8.6,,,,63.0,85.0,43.0
2013-02-08,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.5,3.9,10.2,0.0,99.0,1.7,5.3,,,,69.0,90.0,51.0
2013-02-09,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.7,4.0,9.8,0.0,5.0,2.8,10.3,,,,56.0,88.0,36.0
2013-02-10,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.6,3.0,8.8,0.4,25.0,3.3,10.8,,,,75.0,97.0,49.0
2013-02-11,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.1,10.5,12.3,1.8,28.0,6.7,13.3,,,,64.0,97.0,55.0
2013-02-12,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.5,8.9,12.2,0.2,29.0,2.8,9.4,,,,77.0,98.0,56.0
2013-02-13,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.3,8.4,12.4,0.0,32.0,2.2,6.4,,,,84.0,97.0,75.0
2013-02-14,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,19.5,7.1,13.3,0.0,2.0,2.2,5.6,,,,82.0,100.0,64.0
2013-02-15,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,19.6,6.4,13.0,0.2,99.0,1.9,4.7,,,,83.0,99.0,58.0
2013-02-16,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.9,8.5,12.7,0.0,26.0,1.7,5.3,,,,84.0,100.0,69.0
2013-02-17,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.6,11.4,14.0,4.6,16.0,1.4,8.3,,,,79.0,96.0,64.0
2013-02-18,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,16.8,11.8,14.3,14.6,18.0,2.5,9.4,,,,94.0,100.0,83.0
2013-02-19,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,14.5,7.3,10.9,5.6,13.0,2.2,17.5,,,,91.0,100.0,82.0
2013-02-20,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,15.4,6.2,10.8,0.0,19.0,1.9,6.4,,,,82.0,100.0,71.0
2013-02-21,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.8,10.0,13.9,0.6,18.0,5.3,11.7,,,,94.0,100.0,90.0
2013-02-22,5906X,CHIPIONA,11,CADIZ,364500N,062402W,10.0,17.2,13.0,15.1,13.6,26.0,7.5,19.2,,,,89.0,99.0,74.0
