date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,12.6,10.6,11.6,1.8,28.0,8.3,20.8,0.4,1017.9,1005.1,,,
2013-01-02,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.2,10.7,12.0,0.0,11.0,5.0,14.2,5.8,1023.6,1017.7,71.0,82.0,62.0
2013-01-03,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,12.7,10.5,11.6,0.0,12.0,8.6,19.2,8.2,1025.8,1022.8,78.0,83.0,71.0
2013-01-04,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,16.7,10.9,13.8,0.0,16.0,1.9,4.2,8.2,1027.2,1024.0,71.0,83.0,61.0
2013-01-05,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,15.2,9.8,12.5,0.0,12.0,1.4,5.8,8.2,1025.3,1022.0,73.0,89.0,60.0
2013-01-06,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,14.8,7.5,11.2,0.0,13.0,3.3,9.7,8.1,1022.0,1017.8,82.0,97.0,71.0
2013-01-07,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,16.5,7.3,11.9,0.0,21.0,3.6,11.1,8.2,1018.0,1014.8,65.0,,
2013-01-08,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,14.9,10.1,12.5,6.4,22.0,1.4,11.7,0.0,1016.3,1013.6,68.0,99.0,55.0
2013-01-09,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,15.0,11.4,13.2,2.4,26.0,4.4,11.1,0.8,1013.6,1010.0,,,
2013-01-10,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.1,8.4,10.8,1.0,30.0,5.8,18.1,3.6,1015.5,1010.2,76.0,,
2013-01-11,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.7,7.3,10.5,3.4,24.0,8.3,20.0,2.9,1014.7,1005.0,74.0,89.0,61.0
2013-01-12,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.0,6.2,8.6,12.0,28.0,14.4,27.8,1.4,1006.3,1001.7,,,
2013-01-13,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.9,7.2,9.6,3.0,25.0,6.7,21.4,2.2,1015.9,1000.3,78.0,96.0,67.0
2013-01-14,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.2,9.1,10.2,1.8,30.0,8.1,18.3,0.5,1015.9,1012.7,74.0,89.0,63.0
2013-01-15,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.2,9.2,10.2,6.6,26.0,13.1,22.2,0.0,1013.0,1004.2,78.0,91.0,63.0
2013-01-16,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.0,9.9,11.4,3.0,28.0,15.8,29.2,0.1,1004.9,997.1,,,
2013-01-17,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,14.2,10.4,12.3,9.8,27.0,9.2,28.3,0.1,1006.0,996.4,,,
2013-01-18,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.9,9.3,11.6,60.0,27.0,5.3,25.6,0.0,996.5,972.2,,,
2013-01-19,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,10.6,7.2,8.9,50.4,1.0,9.7,35.0,0.2,991.0,965.8,,,
2013-01-20,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.5,7.1,9.3,3.2,25.0,13.3,35.0,1.4,991.7,981.4,81.0,88.0,64.0
2013-01-21,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.3,6.1,8.7,12.2,31.0,16.4,31.4,6.4,999.8,991.3,67.0,90.0,49.0
2013-01-22,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,,,,14.6,30.0,13.3,30.3,0.8,1001.3,987.8,80.0,97.0,67.0
2013-01-23,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.8,7.1,9.4,1.8,99.0,13.6,24.7,1.2,1004.8,997.4,77.0,99.0,63.0
2013-01-24,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.6,8.6,11.1,0.0,30.0,6.1,25.0,7.4,1007.7,999.8,66.0,80.0,59.0
2013-01-25,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.4,8.6,11.0,2.0,29.0,9.4,25.0,0.0,1007.3,1000.9,,,
2013-01-26,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,16.0,9.7,12.8,1.2,25.0,6.7,27.8,6.1,1011.4,1001.0,79.0,100.0,61.0
2013-01-27,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.7,8.9,11.3,15.0,24.0,13.6,27.5,0.5,1009.4,998.6,,,
2013-01-28,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,14.0,9.7,11.8,0.2,25.0,14.7,27.2,7.3,1012.0,1009.0,73.0,84.0,64.0
2013-01-29,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,18.0,12.1,15.0,0.0,26.0,16.4,29.7,5.9,1009.2,1007.3,70.0,75.0,65.0
2013-01-30,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,15.7,11.0,13.4,12.4,25.0,10.6,32.8,1.8,1016.2,1006.0,,,
2013-01-31,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,15.1,12.7,13.9,4.4,25.0,10.0,23.9,0.1,1017.7,1011.8,,,
2013-02-01,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,15.4,7.0,11.2,14.4,25.0,15.8,33.6,0.7,1012.1,998.6,,,
2013-02-02,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.4,7.6,9.5,1.4,32.0,6.4,23.1,5.5,1021.0,1009.4,69.0,,
2013-02-03,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,12.7,8.0,10.4,1.0,29.0,4.7,14.7,1.3,1022.5,1020.7,76.0,87.0,66.0
2013-02-04,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,12.4,10.3,11.4,3.8,29.0,8.9,13.6,0.2,1022.0,1019.6,,,
2013-02-05,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,12.3,7.2,9.8,4.6,29.0,15.6,31.9,2.8,1020.3,1011.2,76.0,,
2013-02-06,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.4,7.5,9.4,6.4,30.0,7.5,26.4,3.0,1018.7,1011.6,74.0,,
2013-02-07,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,13.7,8.4,11.0,0.6,29.0,5.8,21.9,4.1,1020.3,1014.2,67.0,95.0,57.0
2013-02-08,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,11.6,9.6,10.6,0.0,32.0,6.7,16.4,4.7,1017.7,1015.1,64.0,95.0,56.0
2013-02-09,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,12.9,9.2,11.0,0.8,25.0,5.3,19.2,1.6,1018.4,1009.3,70.0,80.0,58.0
2013-02-10,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,10.8,6.6,8.7,4.4,28.0,19.7,40.0,0.7,1009.3,993.7,84.0,97.0,66.0
2013-02-11,1351,ESTACA DE BARES,15,A CORUÑA,434710N,074106W,90.0,9.5,5.2,7.4,4.0,30.0,11.4,33.1,2.6,1006.1,996.1,72.0,85.0,56.0
