date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,6.7,4.4,5.6,0.7,7.0,0.3,5.6,,934.7,931.2,93.0,95.0,69.0
2013-01-02,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,9.0,2.4,5.7,0.0,34.0,0.3,6.1,,938.1,934.5,73.0,85.0,58.0
2013-01-03,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,10.3,2.5,6.4,0.0,14.0,0.6,4.2,,947.4,937.8,60.0,76.0,43.0
2013-01-04,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,11.3,2.3,6.8,0.0,13.0,0.6,5.0,,948.0,944.8,61.0,72.0,47.0
2013-01-05,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,13.6,5.3,9.4,0.0,14.0,0.8,4.2,,945.4,941.4,50.0,64.0,43.0
2013-01-06,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,12.3,3.7,8.0,0.0,24.0,0.8,2.5,,941.8,938.6,63.0,78.0,52.0
2013-01-07,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,11.2,2.9,7.0,0.0,13.0,0.6,4.2,,939.5,936.5,74.0,83.0,59.0
2013-01-08,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,9.8,2.7,6.2,0.0,30.0,1.1,3.3,,940.4,938.2,74.0,87.0,61.0
2013-01-09,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,9.0,1.8,5.4,0.0,15.0,0.6,4.4,,939.9,937.3,72.0,85.0,62.0
2013-01-10,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,11.9,6.9,9.4,0.0,24.0,0.3,4.2,,938.8,935.3,78.0,87.0,69.0
2013-01-11,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,11.6,5.4,8.5,0.0,14.0,0.3,4.7,,936.0,933.4,81.0,92.0,61.0
2013-01-12,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,9.8,5.9,7.8,8.5,29.0,0.8,6.1,,934.5,930.4,83.0,96.0,71.0
2013-01-13,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,6.6,2.7,4.6,2.2,30.0,1.7,9.2,,930.4,927.3,80.0,96.0,64.0
2013-01-14,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,7.3,0.4,3.8,0.0,34.0,0.8,5.6,,935.3,929.7,74.0,95.0,54.0
2013-01-15,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,5.6,3.0,4.3,0.0,26.0,0.0,5.6,,934.7,932.7,77.0,85.0,71.0
2013-01-16,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,6.7,3.8,5.2,46.5,28.0,0.8,8.3,,934.2,928.5,92.0,98.0,72.0
2013-01-17,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,8.0,5.5,6.8,11.3,24.0,1.9,8.6,,931.7,928.2,92.0,98.0,79.0
2013-01-18,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,9.9,8.0,9.0,8.3,28.0,1.7,10.0,,929.6,918.7,97.0,97.0,92.0
2013-01-19,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,11.4,3.5,7.4,20.7,16.0,4.2,18.6,,918.7,900.9,75.0,95.0,64.0
2013-01-20,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,6.9,2.3,4.6,8.3,26.0,1.9,11.7,,922.9,910.2,81.0,93.0,76.0
2013-01-21,5038X,CAZORLA,23,JAEN,375457N,030014W,782.0,8.1,3.7,5.9,0.0,16.0,1.9,9.2,,928.3,918.6,79.0,93.0,64.0
