date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,5.8,3.5,4.6,5.4,,,,,,,88.0,98.0,80.0
2013-01-02,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,5.4,-0.3,2.6,0.2,,,,,,,92.0,100.0,81.0
2013-01-03,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,13.3,-1.0,6.2,0.0,,,,,,,92.0,100.0,59.0
2013-01-04,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.3,0.9,6.1,0.0,,,,,,,83.0,98.0,64.0
2013-01-05,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.1,-0.3,5.4,0.0,,,,,,,74.0,95.0,52.0
2013-01-06,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.4,-1.0,4.2,0.0,,,,,,,65.0,91.0,47.0
2013-01-07,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.4,-2.0,3.7,0.0,,,,,,,75.0,96.0,52.0
2013-01-08,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,7.9,-3.7,2.1,0.0,,,,,,,84.0,100.0,62.0
2013-01-09,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.2,-1.3,3.4,1.6,,,,,,,98.0,100.0,91.0
2013-01-10,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.5,-1.6,3.4,0.8,,,,,,,93.0,100.0,77.0
2013-01-11,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.0,-2.6,2.7,0.0,,,,,,,83.0,100.0,64.0
2013-01-12,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,7.3,-0.7,3.3,6.8,,,,,,,84.0,100.0,58.0
2013-01-13,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.1,-2.2,0.4,35.4,,,,,,,97.0,100.0,77.0
2013-01-14,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,2.9,0.1,1.5,18.4,,,,,,,89.0,100.0,80.0
2013-01-15,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,4.5,1.7,3.1,26.4,,,,,,,87.0,96.0,79.0
2013-01-16,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.1,1.4,4.8,37.6,,,,,,,89.0,100.0,76.0
2013-01-17,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.7,3.6,6.2,45.4,,,,,,,87.0,100.0,61.0
2013-01-18,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.7,5.0,7.4,20.0,,,,,,,99.0,100.0,89.0
2013-01-19,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.2,0.3,4.2,50.0,,,,,,,89.0,100.0,69.0
2013-01-20,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.6,0.5,2.0,9.8,,,,,,,91.0,100.0,75.0
2013-01-21,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,4.1,-3.9,0.1,4.2,,,,,,,79.0,96.0,58.0
2013-01-22,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.6,-1.9,0.8,10.8,,,,,,,76.0,99.0,52.0
2013-01-23,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.0,-1.1,2.4,32.0,,,,,,,91.0,100.0,73.0
2013-01-24,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,4.2,0.5,2.4,10.6,,,,,,,90.0,100.0,74.0
2013-01-25,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.3,-0.9,3.7,13.6,,,,,,,96.0,100.0,86.0
2013-01-26,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.6,2.0,5.3,0.4,,,,,,,69.0,88.0,56.0
2013-01-27,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.3,0.2,3.2,7.8,,,,,,,96.0,100.0,77.0
2013-01-28,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.2,-0.6,3.8,0.0,,,,,,,79.0,95.0,60.0
2013-01-29,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,13.3,-0.5,6.4,0.0,,,,,,,80.0,96.0,60.0
2013-01-30,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.7,2.9,6.8,0.0,,,,,,,86.0,98.0,68.0
2013-01-31,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,,,,,,,,,,,83.0,,
2013-02-01,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.3,1.4,5.8,36.2,,,,,,,84.0,98.0,63.0
2013-02-02,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,2.1,0.2,1.2,26.8,,,,,,,91.0,99.0,76.0
2013-02-03,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,4.6,-1.2,1.7,0.0,,,,,,,86.0,100.0,72.0
2013-02-04,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,7.6,1.5,4.6,0.0,,,,,,,90.0,100.0,78.0
2013-02-05,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.4,0.4,5.4,25.8,,,,,,,63.0,100.0,26.0
2013-02-06,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,1.4,-0.5,0.4,34.0,,,,,,,89.0,99.0,80.0
2013-02-07,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,2.2,-1.0,0.6,24.0,,,,,,,93.0,99.0,77.0
2013-02-08,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.7,0.1,1.9,33.0,,,,,,,97.0,100.0,75.0
2013-02-09,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,4.9,-0.8,2.0,0.2,,,,,,,92.0,100.0,74.0
2013-02-10,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.7,-1.4,2.6,16.0,,,,,,,86.0,100.0,66.0
2013-02-11,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,1.2,-2.4,-0.6,20.8,,,,,,,93.0,100.0,76.0
2013-02-12,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.7,-0.6,1.6,26.0,,,,,,,85.0,100.0,76.0
2013-02-13,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.6,0.7,3.6,2.0,,,,,,,86.0,100.0,78.0
2013-02-14,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.2,0.2,4.7,0.0,,,,,,,83.0,100.0,61.0
2013-02-15,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.2,-1.0,3.6,0.0,,,,,,,86.0,100.0,70.0
2013-02-16,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.4,-0.1,5.2,0.0,,,,,,,77.0,96.0,53.0
2013-02-17,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.3,-0.4,4.4,3.8,,,,,,,81.0,100.0,59.0
2013-02-18,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.2,0.4,5.3,0.0,,,,,,,78.0,100.0,50.0
2013-02-19,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.0,0.5,4.8,0.0,,,,,,,84.0,94.0,63.0
2013-02-20,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.8,0.4,5.6,0.0,,,,,,,80.0,98.0,55.0
2013-02-21,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.6,1.8,4.2,4.4,,,,,,,91.0,100.0,81.0
2013-02-22,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,5.5,-1.7,1.9,2.4,,,,,,,95.0,100.0,79.0
2013-02-23,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,-1.0,-2.8,-1.9,2.0,,,,,,,81.0,95.0,70.0
2013-02-24,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,0.2,-2.7,-1.2,8.2,,,,,,,86.0,98.0,76.0
2013-02-25,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,0.4,-2.8,-1.2,1.6,,,,,,,90.0,96.0,72.0
2013-02-26,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,1.4,-2.4,-0.5,11.0,,,,,,,93.0,100.0,83.0
2013-02-27,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,2.6,-6.0,-1.7,1.8,,,,,,,86.0,100.0,65.0
2013-02-28,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.7,-6.4,-1.4,0.0,,,,,,,77.0,95.0,61.0
2013-03-01,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,3.0,-2.8,0.1,1.2,,,,,,,93.0,100.0,84.0
2013-03-02,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,7.2,-4.6,1.3,0.0,,,,,,,71.0,91.0,47.0
2013-03-03,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.6,-1.1,5.2,0.0,,,,,,,69.0,91.0,46.0
2013-03-04,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.2,0.1,5.2,0.2,,,,,,,74.0,95.0,51.0
2013-03-05,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.6,2.5,6.0,0.0,,,,,,,86.0,100.0,71.0
2013-03-06,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,12.5,3.2,7.8,2.0,,,,,,,83.0,100.0,61.0
2013-03-07,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.2,2.1,5.6,14.0,,,,,,,92.0,100.0,74.0
2013-03-08,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.3,0.5,5.9,5.0,,,,,,,86.0,100.0,57.0
2013-03-09,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.9,2.3,6.1,3.2,,,,,,,84.0,100.0,60.0
2013-03-10,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.3,1.4,4.8,0.4,,,,,,,83.0,100.0,61.0
2013-03-11,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.6,1.6,5.1,6.8,,,,,,,81.0,98.0,57.0
2013-03-12,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,7.4,-1.5,3.0,9.2,,,,,,,89.0,99.0,67.0
2013-03-13,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,-0.6,-3.1,-1.8,12.6,,,,,,,93.0,100.0,78.0
2013-03-14,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,2.5,-1.6,0.4,15.0,,,,,,,93.0,100.0,78.0
2013-03-15,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.5,-3.7,2.4,0.0,,,,,,,74.0,100.0,40.0
2013-03-16,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.4,-0.2,3.1,0.4,,,,,,,82.0,94.0,68.0
2013-03-17,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,6.2,-1.2,2.5,0.2,,,,,,,79.0,100.0,56.0
2013-03-18,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,7.6,-1.5,3.0,0.0,,,,,,,52.0,90.0,40.0
2013-03-19,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.2,-1.5,3.4,0.8,,,,,,,70.0,96.0,43.0
2013-03-20,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.8,-1.4,5.2,0.0,,,,,,,54.0,97.0,22.0
2013-03-21,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.8,0.9,6.4,0.0,,,,,,,65.0,89.0,54.0
2013-03-22,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.1,3.2,6.6,0.8,,,,,,,71.0,90.0,53.0
2013-03-23,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.7,2.7,6.2,3.6,,,,,,,76.0,97.0,55.0
2013-03-24,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.5,2.1,5.3,5.6,,,,,,,83.0,97.0,63.0
2013-03-25,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,5.9,2.0,4.0,19.0,,,,,,,95.0,100.0,79.0
2013-03-26,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.1,4.3,7.2,7.4,,,,,,,96.0,100.0,83.0
2013-03-27,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.3,4.6,7.0,8.8,,,,,,,99.0,100.0,96.0
2013-03-28,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.4,4.8,7.6,1.0,,,,,,,98.0,100.0,91.0
2013-03-29,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.8,4.0,7.9,18.8,,,,,,,95.0,100.0,67.0
2013-03-30,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,10.6,3.4,7.0,2.8,,,,,,,76.0,99.0,57.0
2013-03-31,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,13.1,2.0,7.6,9.8,,,,,,,70.0,99.0,50.0
2013-04-01,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.4,3.3,7.4,2.2,,,,,,,68.0,99.0,46.0
2013-04-02,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,9.3,0.6,5.0,1.2,,,,,,,80.0,98.0,62.0
2013-04-03,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,11.6,2.5,7.0,3.6,,,,,,,78.0,98.0,50.0
2013-04-04,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,4.3,-0.2,2.0,5.6,,,,,,,92.0,100.0,85.0
2013-04-05,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,1.2,-1.4,-0.1,14.4,,,,,,,84.0,96.0,72.0
2013-04-06,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,2.4,-3.2,-0.4,4.0,,,,,,,84.0,98.0,71.0
2013-04-07,1178Y,"POSADA DE VALDEÓN, SOTO ",24,LEON,430843N,045554W,953.0,8.7,-4.2,2.2,1.4,,,,,,,78.0,98.0,53.0
