date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2016-01-20,6032B,RONDA,29,MALAGA,364459N,051006W,766.0,14.9,6.6,10.8,,28.0,1.1,8.1,,931.6,926.9,,95.0,61.0
2013-01-01,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,11.9,5.1,8.5,0.8,31.0,1.7,6.7,,,,93.0,98.0,73.0
2013-01-02,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,12.2,2.8,7.5,0.0,2.0,1.7,6.1,,,,77.0,98.0,49.0
2013-01-03,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,12.2,3.2,7.7,0.0,16.0,1.4,8.9,,,,66.0,84.0,50.0
2013-01-04,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,12.7,6.6,9.6,0.0,16.0,3.6,14.2,,,,68.0,76.0,57.0
2013-01-05,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,15.8,4.1,10.0,0.0,30.0,0.3,3.6,,,,63.0,86.0,38.0
2013-01-06,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,14.7,4.4,9.6,0.0,32.0,1.4,5.8,,,,70.0,93.0,51.0
2013-01-07,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,13.6,4.0,8.8,0.0,30.0,1.4,5.6,,,,73.0,93.0,56.0
2013-01-08,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,13.1,4.0,8.6,0.0,99.0,1.4,3.9,,,,69.0,87.0,53.0
2013-01-09,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,13.7,3.6,8.6,0.0,31.0,1.1,4.7,,,,74.0,89.0,62.0
2013-01-10,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,15.4,6.8,11.1,0.0,6.0,1.7,5.6,,,,73.0,92.0,55.0
2013-01-11,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,14.9,6.7,10.8,0.0,36.0,1.4,5.0,,,,76.0,94.0,59.0
2013-01-12,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,13.2,5.8,9.5,3.4,28.0,1.4,7.8,,,,80.0,96.0,64.0
2013-01-13,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,8.3,4.7,6.5,1.6,30.0,2.5,10.6,,,,87.0,97.0,70.0
2013-01-14,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,10.7,1.9,6.3,0.0,29.0,0.8,7.2,,,,66.0,96.0,43.0
2013-01-15,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,9.3,1.4,5.4,0.0,33.0,2.2,10.0,,,,78.0,90.0,62.0
2013-01-16,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,9.2,5.0,7.1,10.4,99.0,3.3,13.3,,,,90.0,98.0,77.0
2013-01-17,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,12.8,8.6,10.7,1.2,30.0,3.9,15.8,,,,87.0,99.0,72.0
2013-01-18,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,11.6,9.7,10.6,16.0,22.0,2.2,11.9,,,,98.0,100.0,96.0
2013-01-19,6032X,RONDA INSTITUTO,29,MALAGA,364460N,051007W,760.0,11.2,4.4,7.8,20.0,30.0,9.4,24.4,,,,79.0,97.0,66.0
