date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.7,7.2,9.4,0.8,,,,,,,82.0,94.0,67.0
2013-01-02,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.6,2.8,6.2,0.0,,,,,,,89.0,100.0,65.0
2013-01-03,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.0,0.5,7.2,0.0,,,,,,,84.0,100.0,60.0
2013-01-04,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.6,1.3,6.0,0.0,,,,,,,91.0,100.0,75.0
2013-01-05,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.8,0.4,4.1,0.0,,,,,,,97.0,100.0,84.0
2013-01-06,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.7,0.7,4.2,0.0,,,,,,,94.0,100.0,82.0
2013-01-07,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,5.6,0.4,3.0,0.0,,,,,,,93.0,100.0,83.0
2013-01-08,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.7,0.0,4.4,3.8,,,,,,,86.0,100.0,74.0
2013-01-09,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.6,5.5,7.0,6.6,,,,,,,96.0,98.0,82.0
2013-01-10,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.3,6.3,8.8,0.2,,,,,,,94.0,99.0,83.0
2013-01-11,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.1,3.6,7.4,2.2,,,,,,,82.0,98.0,65.0
2013-01-12,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.2,5.3,7.2,10.0,,,,,,,83.0,96.0,70.0
2013-01-13,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.3,4.6,7.0,1.6,,,,,,,81.0,93.0,70.0
2013-01-14,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.8,4.2,6.5,1.0,,,,,,,78.0,92.0,68.0
2013-01-15,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.6,5.1,7.4,11.6,,,,,,,82.0,95.0,68.0
2013-01-16,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.0,7.1,10.6,16.6,,,,,,,83.0,99.0,70.0
2013-01-17,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.7,9.0,10.4,32.8,,,,,,,87.0,99.0,68.0
2013-01-18,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.6,11.5,12.6,55.0,,,,,,,94.0,99.0,86.0
2013-01-19,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.5,6.0,8.8,4.4,,,,,,,75.0,98.0,67.0
2013-01-20,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.4,5.6,7.0,7.0,,,,,,,81.0,94.0,76.0
2013-01-21,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.6,5.3,7.0,16.0,,,,,,,65.0,87.0,52.0
2013-01-22,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.5,2.3,4.9,10.0,,,,,,,82.0,94.0,65.0
2013-01-23,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.8,2.7,5.2,12.2,,,,,,,91.0,99.0,81.0
2013-01-24,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.4,4.5,7.4,2.8,,,,,,,68.0,100.0,53.0
2013-01-25,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.9,4.4,6.2,4.8,,,,,,,93.0,99.0,87.0
2013-01-26,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.0,3.4,8.7,1.2,,,,,,,78.0,100.0,52.0
2013-01-27,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.6,5.7,9.6,13.4,,,,,,,85.0,98.0,68.0
2013-01-28,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.0,5.2,9.1,0.0,,,,,,,70.0,95.0,53.0
2013-01-29,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.8,6.4,9.6,0.0,,,,,,,72.0,84.0,63.0
2013-01-30,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.4,10.9,14.2,0.0,,,,,,,66.0,82.0,54.0
2013-01-31,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.4,7.5,12.0,12.0,,,,,,,71.0,93.0,50.0
2013-02-01,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.5,4.9,7.2,0.2,,,,,,,68.0,90.0,55.0
2013-02-02,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.3,0.5,5.9,0.0,,,,,,,74.0,93.0,52.0
2013-02-03,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.4,2.0,8.2,0.0,,,,,,,81.0,96.0,63.0
2013-02-04,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.7,5.0,9.4,2.0,,,,,,,67.0,95.0,46.0
2013-02-05,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.7,4.6,6.6,3.6,,,,,,,79.0,90.0,69.0
2013-02-08,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.9,3.7,7.3,0.0,,,,,,,69.0,94.0,47.0
2013-02-09,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.3,-0.5,5.9,0.0,,,,,,,70.0,94.0,50.0
2013-02-10,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.4,3.0,6.2,18.8,,,,,,,82.0,93.0,73.0
2013-02-11,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,5.5,2.4,4.0,2.8,,,,,,,78.0,92.0,69.0
2013-02-12,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.4,3.7,5.6,0.6,,,,,,,87.0,97.0,76.0
2013-02-13,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.0,6.9,10.0,0.0,,,,,,,80.0,99.0,56.0
2013-02-14,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.1,1.5,7.3,0.0,,,,,,,77.0,98.0,55.0
2013-02-15,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.8,1.3,8.0,0.0,,,,,,,79.0,99.0,54.0
2013-02-16,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.9,3.7,9.8,0.0,,,,,,,72.0,97.0,50.0
2013-02-17,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.1,4.6,7.4,7.4,,,,,,,87.0,97.0,78.0
2013-02-18,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.0,5.2,9.6,0.0,,,,,,,71.0,98.0,45.0
2013-02-19,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.0,4.6,8.3,0.0,,,,,,,79.0,93.0,63.0
2013-02-20,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.6,3.4,9.5,4.2,,,,,,,70.0,96.0,47.0
2013-02-21,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.0,8.0,10.0,13.0,,,,,,,89.0,96.0,77.0
2013-02-22,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.1,6.1,8.1,6.2,,,,,,,90.0,98.0,76.0
2013-02-23,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.2,0.3,4.2,0.2,,,,,,,64.0,96.0,45.0
2013-02-24,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,7.2,0.0,3.6,0.0,,,,,,,77.0,90.0,60.0
2013-02-25,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.5,-2.1,3.2,0.0,,,,,,,64.0,95.0,40.0
2013-02-26,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.9,-2.6,3.6,0.0,,,,,,,64.0,93.0,44.0
2013-02-27,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.8,2.6,5.7,0.0,,,,,,,63.0,91.0,46.0
2013-02-28,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.9,-0.9,5.0,0.0,,,,,,,56.0,86.0,36.0
2013-03-01,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.3,-1.5,5.9,0.0,,,,,,,54.0,92.0,27.0
2013-03-02,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.6,-1.6,6.5,0.0,,,,,,,53.0,94.0,29.0
2013-03-03,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.1,2.8,10.0,0.0,,,,,,,51.0,85.0,32.0
2013-03-04,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.6,8.1,11.4,0.0,,,,,,,55.0,71.0,46.0
2013-03-05,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.2,10.7,13.4,1.2,,,,,,,71.0,88.0,54.0
2013-03-06,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.4,9.7,12.6,10.4,,,,,,,79.0,94.0,64.0
2013-03-07,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.4,9.5,13.0,9.8,,,,,,,72.0,93.0,58.0
2013-03-08,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.3,8.7,13.0,0.2,,,,,,,51.0,90.0,36.0
2013-03-09,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.5,8.7,11.6,8.4,,,,,,,69.0,78.0,49.0
2013-03-10,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.6,6.8,8.7,25.6,,,,,,,79.0,94.0,59.0
2013-03-11,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.0,6.2,8.1,33.6,,,,,,,85.0,94.0,74.0
2013-03-12,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.8,3.0,6.4,10.8,,,,,,,84.0,94.0,68.0
2013-03-13,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,8.4,1.8,5.1,0.0,,,,,,,59.0,88.0,39.0
2013-03-14,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.0,1.9,6.4,0.0,,,,,,,63.0,89.0,42.0
2013-03-15,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.7,-0.1,7.8,0.4,,,,,,,55.0,94.0,23.0
2013-03-16,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,10.2,7.0,8.6,1.4,,,,,,,67.0,79.0,57.0
2013-03-17,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.3,6.7,10.5,0.2,,,,,,,58.0,96.0,31.0
2013-03-18,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.2,5.3,8.2,0.2,,,,,,,54.0,80.0,45.0
2013-03-19,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.8,0.1,6.4,0.0,,,,,,,57.0,92.0,38.0
2013-03-20,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.3,2.5,9.4,0.2,,,,,,,53.0,87.0,29.0
2013-03-21,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,19.5,9.1,14.3,0.2,,,,,,,47.0,67.0,35.0
2013-03-22,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.0,9.0,12.0,3.8,,,,,,,59.0,79.0,41.0
2013-03-23,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.9,6.3,11.1,0.4,,,,,,,61.0,87.0,38.0
2013-03-24,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.2,7.5,9.8,18.0,,,,,,,80.0,90.0,64.0
2013-03-25,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.5,6.8,10.2,37.0,,,,,,,96.0,99.0,76.0
2013-03-26,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.3,10.7,12.0,23.2,,,,,,,92.0,96.0,79.0
2013-03-27,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.5,10.1,13.3,7.4,,,,,,,84.0,98.0,66.0
2013-03-28,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,18.0,10.5,14.2,14.4,,,,,,,71.0,97.0,51.0
2013-03-29,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.1,11.0,14.0,16.6,,,,,,,87.0,97.0,66.0
2013-03-30,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.2,8.2,12.7,1.0,,,,,,,60.0,88.0,43.0
2013-03-31,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,18.1,6.2,12.2,14.8,,,,,,,71.0,95.0,51.0
2013-04-01,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.3,6.6,10.4,8.4,,,,,,,73.0,93.0,53.0
2013-04-02,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.6,6.1,10.8,1.0,,,,,,,73.0,96.0,49.0
2013-04-03,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.1,8.1,10.6,4.0,,,,,,,77.0,94.0,59.0
2013-04-04,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,13.9,6.9,10.4,4.6,,,,,,,82.0,96.0,60.0
2013-04-05,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.6,4.4,7.0,0.0,,,,,,,57.0,87.0,43.0
2013-04-06,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.4,4.4,9.4,0.0,,,,,,,50.0,80.0,34.0
2013-04-07,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,9.0,3.7,6.4,3.6,,,,,,,79.0,90.0,67.0
2013-04-08,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.8,7.2,11.0,3.0,,,,,,,66.0,89.0,46.0
2013-04-09,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.8,9.7,12.2,1.8,,,,,,,61.0,84.0,48.0
2013-04-10,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,19.9,9.9,14.9,7.6,,,,,,,64.0,86.0,49.0
2013-04-11,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.8,10.5,12.6,14.0,,,,,,,67.0,90.0,50.0
2013-04-12,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.6,10.6,13.6,2.0,,,,,,,59.0,88.0,55.0
2013-04-13,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,23.6,10.5,17.0,0.0,,,,,,,50.0,77.0,30.0
2013-04-14,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,25.8,6.7,16.2,0.0,,,,,,,51.0,89.0,25.0
2013-04-15,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,23.8,12.0,17.9,0.0,,,,,,,47.0,76.0,32.0
2013-04-16,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,28.1,7.2,17.6,0.0,,,,,,,42.0,88.0,14.0
2013-04-17,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,28.7,8.3,18.5,0.0,,,,,,,44.0,83.0,23.0
2013-04-18,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,20.5,9.7,15.1,0.0,,,,,,,55.0,82.0,38.0
2013-04-19,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,21.8,4.9,13.4,0.0,,,,,,,43.0,87.0,18.0
2013-04-20,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,23.6,5.8,14.7,0.0,,,,,,,35.0,67.0,20.0
2013-04-21,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,23.2,5.2,14.2,0.0,,,,,,,50.0,85.0,30.0
2013-04-22,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,24.3,6.9,15.6,0.0,,,,,,,50.0,83.0,30.0
2013-04-23,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,28.4,7.6,18.0,0.0,,,,,,,53.0,87.0,29.0
2013-04-24,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,28.4,9.8,19.1,0.0,,,,,,,51.0,84.0,30.0
2013-04-25,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,29.5,11.6,20.6,0.0,,,,,,,48.0,85.0,22.0
2013-04-26,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,22.3,10.2,16.2,0.0,,,,,,,57.0,82.0,39.0
2013-04-27,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.0,3.2,7.6,0.0,,,,,,,51.0,79.0,34.0
2013-04-28,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.2,0.7,7.4,0.0,,,,,,,51.0,86.0,31.0
2013-04-29,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,18.3,1.1,9.7,2.4,,,,,,,49.0,88.0,25.0
2013-04-30,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,11.6,6.2,8.9,5.6,,,,,,,80.0,92.0,50.0
2013-05-01,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.0,6.3,11.6,0.0,,,,,,,65.0,91.0,46.0
2013-05-02,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,22.5,4.4,13.4,0.0,,,,,,,51.0,91.0,30.0
2013-05-03,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,25.0,5.0,15.0,0.0,,,,,,,44.0,89.0,19.0
2013-05-04,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,26.9,6.8,16.8,0.0,,,,,,,42.0,87.0,21.0
2013-05-05,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,27.7,8.1,17.9,0.0,,,,,,,46.0,85.0,24.0
2013-05-06,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.6,11.0,13.3,8.2,,,,,,,78.0,93.0,58.0
2013-05-07,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,20.1,13.6,16.8,2.8,,,,,,,75.0,95.0,50.0
2013-05-08,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,23.6,12.8,18.2,7.4,,,,,,,67.0,93.0,42.0
2013-05-09,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,18.6,12.6,15.6,3.0,,,,,,,77.0,93.0,60.0
2013-05-10,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,22.6,8.6,15.6,0.0,,,,,,,48.0,87.0,20.0
2013-05-11,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,22.7,5.6,14.2,0.0,,,,,,,50.0,85.0,32.0
2013-05-12,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,25.6,6.9,16.2,0.0,,,,,,,53.0,88.0,30.0
2013-05-13,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,27.9,8.0,18.0,0.0,,,,,,,49.0,89.0,23.0
2013-05-14,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,21.1,9.9,15.5,3.2,,,,,,,57.0,86.0,36.0
2013-05-15,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.0,8.1,12.0,1.0,,,,,,,55.0,92.0,35.0
2013-05-16,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.2,6.4,9.3,12.0,,,,,,,81.0,93.0,52.0
2013-05-17,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,14.4,6.1,10.2,2.3,,,,,,,70.0,93.0,48.0
2013-05-18,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,12.8,7.5,10.2,0.6,,,,,,,64.0,82.0,55.0
2013-05-19,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,17.3,7.2,12.2,0.0,,,,,,,59.0,91.0,29.0
2013-05-20,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,19.9,3.8,11.8,0.0,,,,,,,55.0,95.0,33.0
2013-05-21,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,22.9,6.6,14.8,0.0,,,,,,,51.0,88.0,35.0
2013-05-22,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,25.7,8.0,16.8,0.0,,,,,,,57.0,87.0,36.0
2013-05-23,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,25.0,7.8,16.4,0.0,,,,,,,49.0,85.0,32.0
2013-05-24,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,24.5,5.9,15.2,0.0,,,,,,,47.0,89.0,18.0
2013-05-25,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,25.8,5.6,15.7,0.0,,,,,,,44.0,82.0,25.0
2013-05-26,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,20.1,7.5,13.8,0.0,,,,,,,57.0,88.0,38.0
2013-05-27,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,20.1,7.7,13.9,0.4,,,,,,,51.0,85.0,35.0
2013-05-28,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,15.4,8.5,12.0,2.4,,,,,,,63.0,85.0,45.0
2013-05-29,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,16.5,8.8,12.6,6.8,,,,,,,69.0,94.0,50.0
2013-05-30,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,21.0,9.3,15.2,0.0,,,,,,,53.0,81.0,33.0
2013-05-31,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,24.5,7.2,15.8,0.0,,,,,,,48.0,86.0,22.0
2013-06-01,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,26.9,6.9,16.9,0.0,,,,,,,52.0,87.0,30.0
2013-06-02,1583X,O BARCO DE VALDEORRAS,32,OURENSE,422456N,065935W,315.0,27.7,9.2,18.4,0.0,,,,,,,46.0,87.0,26.0
