date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2019-06-01,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,25.9,15.8,20.8,0.0,9.0,1.9,7.5,,885.0,882.0,31.0,,
2019-06-02,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,20.0,11.6,15.8,0.0,10.0,2.5,6.7,,883.0,880.0,46.0,,
2019-06-03,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,17.1,8.8,13.0,0.0,13.0,2.5,7.5,,881.0,876.0,74.0,,
2019-06-04,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,16.0,4.4,10.2,7.8,36.0,2.5,7.8,,876.0,871.0,93.0,,
2019-06-05,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,8.3,3.5,5.9,1.3,30.0,2.8,10.3,,876.0,872.0,88.0,,
2019-06-06,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,14.6,1.5,8.0,,22.0,6.4,24.2,,876.0,863.0,62.0,,
2019-06-07,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,,,,,,3.3,,,,,59.0,,
2019-06-08,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,8.9,3.6,6.2,0.2,99.0,2.8,7.5,,884.0,882.0,93.0,,
2019-06-09,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,7.3,4.0,5.6,,12.0,1.7,6.7,,882.0,879.0,100.0,,
2019-06-13,1178R,"SOTRES, PARQUE NACIONAL PICOS DE EUROPA",33,ASTURIAS,431415N,044412W,1236.0,,,,,,,,,876.0,873.0,,,
