date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,7.8,-1.5,3.2,0.0,1.0,1.1,6.7,3.4,893.5,884.8,85.0,98.0,64.0
2013-01-02,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,6.5,0.4,3.4,0.0,35.0,4.4,18.3,2.5,900.8,893.3,75.0,89.0,66.0
2013-01-03,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,12.4,0.9,6.6,0.0,34.0,2.5,7.2,8.3,906.1,900.6,69.0,89.0,46.0
2013-01-04,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,16.8,0.8,8.8,0.0,30.0,2.2,6.7,8.3,905.9,904.1,52.0,88.0,33.0
2013-01-05,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,16.3,3.2,9.8,0.0,29.0,1.9,6.4,8.3,904.1,900.9,45.0,61.0,29.0
2013-01-06,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,19.0,1.8,10.4,0.0,29.0,1.9,6.7,8.4,900.9,896.6,28.0,52.0,15.0
2013-01-07,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,16.2,-0.6,7.8,0.0,29.0,2.2,6.7,8.4,896.8,893.8,48.0,94.0,23.0
2013-01-08,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,0.4,-6.9,-3.2,0.0,19.0,1.4,5.3,0.7,897.2,894.6,94.0,97.0,85.0
2013-01-09,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,4.7,-4.4,0.2,0.2,27.0,1.7,5.3,0.7,894.6,891.3,95.0,98.0,91.0
2013-01-10,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,8.5,-2.7,2.9,0.0,5.0,1.1,6.9,1.4,893.5,891.4,93.0,98.0,82.0
2013-01-11,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,8.1,-3.5,2.3,0.0,22.0,2.5,12.5,5.4,893.5,887.7,77.0,96.0,56.0
2013-01-12,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,6.6,-1.0,2.8,0.6,28.0,3.1,18.1,3.5,887.7,879.9,74.0,95.0,54.0
2013-01-13,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,2.4,-5.0,-1.3,4.2,35.0,1.7,23.9,1.7,889.3,880.4,89.0,95.0,63.0
2013-01-14,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,6.3,-1.9,2.2,2.0,36.0,2.8,15.6,5.7,889.7,887.0,69.0,94.0,53.0
2013-01-15,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,10.7,-2.1,4.3,0.8,28.0,2.2,11.1,5.9,887.4,885.3,67.0,89.0,45.0
2013-01-16,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,10.0,1.2,5.6,2.0,27.0,1.9,10.0,4.8,885.3,877.9,86.0,92.0,56.0
2013-01-17,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,6.6,1.1,3.8,5.4,3.0,1.1,5.3,0.9,884.7,879.6,81.0,95.0,67.0
2013-01-18,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,9.5,1.6,5.6,71.2,21.0,5.8,25.3,0.0,879.6,861.3,90.0,96.0,78.0
2013-01-19,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,7.2,-0.5,3.4,9.4,22.0,3.6,28.1,1.0,865.1,852.4,88.0,96.0,70.0
2013-01-20,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,2.0,-2.8,-0.4,9.4,29.0,1.7,11.7,1.8,872.3,865.1,89.0,96.0,77.0
2013-01-21,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,4.3,-1.7,1.3,4.0,25.0,3.3,11.7,5.6,879.0,870.2,63.0,95.0,42.0
2013-01-22,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,2.9,-5.3,-1.2,2.8,22.0,3.6,17.5,4.5,877.0,870.6,75.0,96.0,54.0
2013-01-23,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,5.2,-4.3,0.4,12.6,32.0,1.7,12.5,5.0,882.8,875.6,75.0,94.0,44.0
2013-01-24,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,4.8,-1.1,1.8,0.0,32.0,3.6,16.4,7.6,885.8,875.6,72.0,93.0,61.0
2013-01-25,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,6.0,-3.3,1.4,0.2,27.0,1.1,6.1,1.4,885.7,882.4,83.0,96.0,64.0
2013-01-26,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,13.1,-0.3,6.4,0.0,31.0,3.9,23.1,8.3,890.6,883.1,40.0,96.0,12.0
2013-01-27,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,7.1,-1.2,3.0,3.0,1.0,3.3,12.8,0.0,888.9,881.3,81.0,91.0,34.0
2013-01-28,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,9.5,-3.7,2.9,0.0,20.0,1.9,10.3,8.7,894.1,888.9,72.0,87.0,39.0
2013-01-29,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,11.5,-1.5,5.0,0.0,20.0,1.4,12.2,4.9,896.5,893.4,84.0,96.0,62.0
2013-01-30,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,13.2,4.7,9.0,0.0,20.0,2.5,12.2,5.3,898.8,894.8,78.0,91.0,59.0
2013-01-31,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,13.3,6.1,9.7,0.2,28.0,2.2,12.5,1.7,900.3,895.5,84.0,92.0,66.0
2013-02-01,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,8.0,0.6,4.3,7.8,25.0,5.0,18.9,0.4,895.5,880.4,83.0,92.0,73.0
2013-02-02,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,2.6,-1.6,0.5,6.6,36.0,2.8,20.3,0.5,893.2,882.5,92.0,96.0,69.0
2013-02-03,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,5.0,-1.7,1.6,8.6,34.0,2.5,15.0,7.4,898.6,893.2,76.0,91.0,55.0
2013-02-04,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,10.5,-0.2,5.2,1.6,28.0,1.7,5.8,8.0,899.1,896.7,77.0,93.0,58.0
2013-02-05,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,11.4,-0.6,5.4,1.2,27.0,2.2,16.4,7.0,896.8,887.5,70.0,96.0,19.0
2013-02-06,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,2.0,-3.8,-0.9,8.0,35.0,1.7,16.1,1.7,888.9,885.0,91.0,95.0,65.0
2013-02-07,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,4.9,-3.2,0.8,8.2,34.0,1.4,16.7,4.7,893.4,888.4,82.0,95.0,57.0
2013-02-08,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,1.2,-2.5,-0.6,6.4,32.0,4.2,16.7,0.9,890.2,886.3,87.0,96.0,70.0
2013-02-09,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,7.6,-1.2,3.2,5.6,36.0,1.4,17.2,4.9,893.5,889.1,68.0,91.0,48.0
2013-02-10,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,3.5,-3.1,0.2,6.4,20.0,4.7,18.6,0.6,889.1,873.4,70.0,93.0,50.0
2013-02-11,2235U,CERVERA DE PISUERGA,34,PALENCIA,425214N,043112W,1140.0,4.4,-5.5,-0.6,0.4,28.0,2.5,13.9,6.7,879.7,874.5,69.0,94.0,42.0
