date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,8.9,5.5,7.2,0.4,99.0,1.7,5.3,,1027.8,1017.6,,,
2013-01-02,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,9.6,1.1,5.4,0.0,99.0,1.1,5.8,,1033.2,1027.6,,,
2013-01-03,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,16.7,1.2,9.0,0.0,21.0,0.8,5.8,,1038.3,1032.9,,,
2013-01-04,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,14.9,-0.1,7.4,0.2,2.0,0.3,3.1,,1039.2,1036.2,,,
2013-01-05,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,13.3,-0.6,6.4,0.0,18.0,0.6,5.8,,1037.0,1033.7,,,
2013-01-06,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,14.6,-0.4,7.1,0.0,31.0,0.6,2.8,,1033.8,1029.1,,,
2013-01-07,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,11.4,-1.8,4.8,0.2,22.0,0.8,5.0,,1029.9,1027.2,,,
2013-01-08,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,10.7,-1.1,4.8,1.0,20.0,1.4,6.4,,1029.1,1026.0,,,
2013-01-09,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,10.2,7.4,8.8,5.6,20.0,2.5,8.1,,1026.0,1021.8,,,
2013-01-10,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,9.1,0.3,4.7,1.8,35.0,1.1,5.8,,1025.8,1022.7,,,
2013-01-11,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,7.8,0.2,4.0,4.0,19.0,2.5,8.1,,1025.2,1019.9,,,
2013-01-12,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,6.5,1.8,4.2,11.4,26.0,2.2,10.8,,1020.2,1014.6,,,
2013-01-13,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,6.9,1.1,4.0,4.8,35.0,1.9,8.6,,1027.1,1015.0,,,
2013-01-14,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,6.3,1.8,4.0,2.0,32.0,1.7,7.2,,1027.6,1025.6,,,
2013-01-15,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,6.2,3.2,4.7,2.4,29.0,1.7,8.1,,1025.7,1020.6,,,
2013-01-16,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,10.3,5.4,7.8,26.8,30.0,4.7,11.7,,1020.6,1012.3,,,
2013-01-17,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,10.9,5.1,8.0,24.4,28.0,2.2,11.7,,1017.9,1012.1,,,
2013-01-18,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,11.7,9.4,10.6,56.8,24.0,4.4,15.6,,1012.2,985.3,,,
2013-01-19,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,10.2,2.2,6.2,30.6,36.0,4.2,13.3,,1002.3,974.2,,,
2013-01-20,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,7.3,2.2,4.8,6.8,28.0,3.6,12.2,,1005.4,998.3,,,
2013-01-21,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,6.1,0.4,3.2,5.8,31.0,3.1,10.3,,1013.8,1005.4,,,
2013-01-22,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,3.8,-0.1,1.8,14.8,27.0,2.5,14.2,,1013.9,1003.1,,,
2013-01-23,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,8.2,-1.2,3.5,16.0,28.0,1.9,9.4,,1019.3,1013.2,,,
2013-01-24,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,9.0,2.0,5.5,2.0,34.0,1.4,10.8,,1018.8,1013.2,,,
2013-01-25,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,9.9,4.4,7.2,4.2,99.0,2.2,6.7,,1019.0,1013.4,,,
2013-01-26,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,13.3,-0.2,6.6,2.0,30.0,0.8,8.1,,1023.6,1017.7,,,
2013-01-27,1455I,RODEIRO-VILAMAIOR,36,PONTEVEDRA,424240N,075714W,645.0,9.8,1.0,5.4,18.0,21.0,3.1,12.2,,1024.1,1011.9,,,
