date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,-0.3,-2.8,-1.6,0.0,27.0,1.9,14.4,0.7,807.8,802.0,94.0,96.0,94.0
2013-01-02,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,0.1,-3.2,-1.6,0.0,9.0,8.1,23.6,7.1,811.5,807.3,85.0,95.0,67.0
2013-01-03,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,7.3,-0.7,3.3,0.0,11.0,,26.4,7.1,818.8,811.1,45.0,82.0,11.0
2013-01-04,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,9.5,2.0,5.8,0.0,12.0,6.9,14.7,7.1,818.9,817.4,24.0,40.0,11.0
2013-01-05,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,9.7,0.9,5.3,0.0,9.0,4.4,10.3,7.2,817.9,815.3,34.0,46.0,15.0
2013-01-06,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,13.2,2.9,8.0,0.0,14.0,2.2,5.3,7.3,815.3,812.3,19.0,36.0,12.0
2013-01-07,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,12.3,1.6,7.0,0.0,19.0,2.5,10.6,7.3,812.3,809.9,20.0,31.0,13.0
2013-01-08,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,10.0,-2.3,3.8,0.0,18.0,3.9,11.4,7.4,810.7,809.0,50.0,100.0,10.0
2013-01-09,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,2.9,-0.2,1.4,5.8,24.0,7.8,17.5,0.0,809.6,807.8,,,
2013-01-10,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",37,SALAMANCA,402118N,054124W,1960.0,2.7,-0.7,1.0,0.0,24.0,4.7,15.8,5.1,809.5,807.8,,,
