date,station_id,station_name,province_code,province_name,latitude,longitude,altitude,tmax,tmin,tmed,precipitation,wind_direction,wind_speed,wind_gust,sunshine_hours,pressure_max,pressure_min,humidity_avg,humidity_max,humidity_min
2013-01-01,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,7.0,2.2,4.6,0.0,17.0,1.4,10.0,,,,73.0,88.0,63.0
2013-01-02,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,6.4,-2.0,2.2,0.0,21.0,4.2,14.7,,,,71.0,88.0,60.0
2013-01-03,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,8.6,-3.4,2.6,0.0,25.0,0.8,4.7,,,,57.0,88.0,36.0
2013-01-04,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,13.8,-4.8,4.5,0.0,34.0,0.6,6.9,,,,56.0,89.0,29.0
2013-01-05,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,14.7,-3.5,5.6,0.0,34.0,0.6,6.1,,,,58.0,90.0,38.0
2013-01-06,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,15.2,-4.2,5.5,0.0,34.0,1.1,6.4,,,,,80.0,28.0
2013-01-07,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,17.0,-3.6,6.7,0.0,36.0,1.4,7.2,,,,42.0,74.0,22.0
2013-01-08,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,13.8,-4.3,4.8,0.0,36.0,1.1,5.6,,,,55.0,71.0,30.0
2013-01-09,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,10.5,-8.9,0.8,0.0,20.0,1.1,12.5,,,,68.0,79.0,48.0
2013-01-10,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,10.5,3.1,6.8,0.0,17.0,2.2,13.6,,,,68.0,88.0,52.0
2013-01-11,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,10.5,-0.6,5.0,0.0,25.0,1.9,8.1,,,,57.0,88.0,35.0
2013-01-12,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,8.6,-4.3,2.2,1.8,18.0,1.9,10.8,,,,69.0,96.0,50.0
2013-01-13,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,4.1,-0.8,1.6,0.8,20.0,2.8,13.3,,,,68.0,94.0,58.0
2013-01-14,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,4.7,-0.7,2.0,0.2,18.0,3.3,13.9,,,,68.0,82.0,55.0
2013-01-15,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,6.7,1.0,3.8,0.0,16.0,3.6,16.4,,,,64.0,78.0,53.0
2013-01-16,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,6.6,2.0,4.3,0.2,11.0,3.3,13.6,,,,72.0,83.0,63.0
2013-01-17,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,8.3,4.4,6.4,0.4,16.0,3.9,15.8,,,,67.0,83.0,58.0
2013-01-18,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,12.7,4.7,8.7,0.6,10.0,2.2,12.5,,,,75.0,84.0,67.0
2013-01-19,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,9.0,1.1,5.0,2.2,8.0,3.1,17.5,,,,81.0,96.0,65.0
2013-01-20,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,4.6,0.6,2.6,0.8,20.0,4.4,13.6,,,,66.0,87.0,58.0
2013-01-21,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,5.1,-3.0,1.0,0.2,99.0,2.8,12.2,,,,65.0,94.0,52.0
2013-01-22,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,4.7,-4.4,0.2,1.2,10.0,2.5,12.2,,,,82.0,95.0,65.0
2013-01-23,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,2.8,-3.0,-0.1,9.0,18.0,5.8,18.1,,,,63.0,84.0,52.0
2013-01-24,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,6.3,1.0,3.6,0.0,21.0,7.2,20.8,,,,62.0,89.0,54.0
2013-01-25,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,8.0,-1.7,3.2,0.0,16.0,2.2,10.8,,,,,88.0,28.0
2013-01-26,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,9.1,1.9,5.5,0.0,17.0,5.8,20.8,,,,51.0,85.0,46.0
2013-01-27,8354X,ALBARRACÍN,44,TERUEL,402511N,012629W,1130.0,11.7,-0.4,5.6,1.6,22.0,3.6,21.4,,,,53.0,89.0,33.0
